asset_id,asset_number,asset_type,asset_description,make,model,year,vin,address,city,state,estimated_value,condition,last_inspection_date
AST90409677,AN43902036,Equipment,Insured asset,Honda,Sedan,2018,VIN67109596,605 Pine St,Boston,IL,153466.2,Good,2021-06-08
AST03719566,AN44039921,Property,Insured asset,Toyota,Truck,2007,VIN21049811,390 Pine St,Austin,WA,202008.02,Excellent,2021-07-13
AST65912377,AN04896866,Equipment,Insured asset,Honda,ModelY,1999,VIN66388098,562 Pine St,San Jose,IL,118856.11,Poor,2024-06-21
AST33124516,AN89352643,Equipment,Insured asset,N/A,Sedan,2014,VIN09336980,313 Pine St,Austin,WA,48312.42,Fair,2020-09-15
AST04239905,AN00093852,Vehicle,Insured asset,Ford,Sedan,1999,VIN33107500,529 Pine St,Seattle,CA,43339.61,Fair,2025-11-20
AST89937713,AN28161019,Property,Insured asset,Honda,Sedan,2020,VIN81771474,658 Pine St,Dallas,WA,33886.45,Good,2023-08-09
AST91415457,AN94908357,Equipment,Insured asset,Toyota,Truck,2016,VIN87873950,308 Pine St,Austin,TX,40016.85,Good,2023-08-23
AST62406374,AN26657644,Property,Insured asset,N/A,Sedan,2013,VIN68511695,235 Pine St,Dallas,WA,87418.12,Poor,2019-11-16
AST83191558,AN68615602,Vehicle,Insured asset,N/A,Truck,1999,VIN15003796,840 Pine St,Boston,FL,201199.94,Poor,2025-08-17
AST64466868,AN02301810,Vehicle,Insured asset,Honda,ModelY,2001,VIN44288551,730 Pine St,Dallas,NY,204503.49,Good,2024-07-24
AST33085615,AN11296087,Vehicle,Insured asset,Ford,Sedan,2021,VIN83740576,676 Pine St,Seattle,NY,221810.89,Fair,2019-10-23
AST43339639,AN71417755,Equipment,Insured asset,Ford,ModelX,1999,VIN58977306,655 Pine St,Miami,WA,21584.58,Good,2024-06-21
AST54996075,AN09527317,Vehicle,Insured asset,N/A,ModelY,2024,VIN27258599,261 Pine St,Austin,IL,138461.97,Excellent,2019-12-22
AST71722895,AN43178179,Equipment,Insured asset,Ford,ModelX,2024,VIN61879470,969 Pine St,San Jose,TX,38450.81,Excellent,2020-09-27
AST97454890,AN18650860,Vehicle,Insured asset,N/A,ModelX,2024,VIN72712367,594 Pine St,San Jose,WA,138858.33,Good,2019-04-08
AST29442309,AN03596903,Property,Insured asset,Honda,Sedan,2016,VIN94615426,618 Pine St,Austin,MA,245060.36,Poor,2024-05-06
AST22289918,AN96772730,Equipment,Insured asset,Honda,ModelX,1995,VIN31818976,834 Pine St,Chicago,WA,186947.7,Poor,2025-01-22
AST81135805,AN66482187,Equipment,Insured asset,Toyota,ModelY,2002,VIN08615014,374 Pine St,Boston,WA,212801.53,Poor,2024-08-07
AST89292741,AN06668330,Vehicle,Insured asset,N/A,ModelX,2018,VIN98722304,534 Pine St,Chicago,CA,129059.35,Excellent,2020-06-08
AST97691154,AN99939112,Vehicle,Insured asset,N/A,ModelY,2021,VIN95901398,494 Pine St,Austin,WA,179781.22,Fair,2024-03-14
AST99048787,AN14440811,Vehicle,Insured asset,N/A,ModelY,2012,VIN12506641,587 Pine St,Dallas,WA,162330.32,Excellent,2020-03-18
AST28687004,AN10833614,Equipment,Insured asset,N/A,Truck,2005,VIN70500213,755 Pine St,Seattle,FL,109511.11,Fair,2024-06-28
AST02598667,AN06675881,Equipment,Insured asset,Honda,ModelX,2013,VIN87908055,204 Pine St,Miami,NY,225884.07,Excellent,2025-04-27
AST12801224,AN41367193,Equipment,Insured asset,N/A,ModelX,2013,VIN18417578,209 Pine St,Austin,FL,102470.97,Excellent,2023-06-08
AST40781541,AN68590985,Property,Insured asset,Honda,Sedan,2021,VIN12549871,326 Pine St,Austin,IL,230358.02,Poor,2019-06-06
AST81938115,AN44257377,Equipment,Insured asset,Ford,ModelY,2007,VIN81901587,441 Pine St,Seattle,NY,139268.56,Fair,2025-06-27
AST12928355,AN23058129,Property,Insured asset,Ford,Truck,2011,VIN00218888,544 Pine St,San Jose,FL,217581.51,Poor,2024-05-27
AST07305379,AN18274254,Equipment,Insured asset,Toyota,Sedan,1996,VIN59841615,281 Pine St,Boston,IL,241933.28,Excellent,2022-02-27
AST94000163,AN84204361,Property,Insured asset,Ford,ModelY,2013,VIN56965520,884 Pine St,Austin,NY,45171.11,Poor,2024-01-13
AST87918168,AN47408111,Vehicle,Insured asset,N/A,ModelY,1997,VIN59385468,422 Pine St,Seattle,TX,8307.75,Poor,2024-02-14
AST70507806,AN44896041,Vehicle,Insured asset,Honda,ModelY,2010,VIN41504201,348 Pine St,San Jose,FL,77360.02,Good,2021-11-09
AST19377922,AN60622863,Property,Insured asset,Toyota,ModelX,1999,VIN35334024,200 Pine St,Austin,WA,232169.23,Good,2018-08-28
AST23618771,AN94842884,Vehicle,Insured asset,N/A,ModelY,2018,VIN25318494,721 Pine St,Chicago,NY,91472.02,Excellent,2023-03-31
AST65899965,AN05560582,Equipment,Insured asset,Honda,ModelY,2004,VIN09953722,562 Pine St,Seattle,TX,134271.65,Excellent,2024-12-06
AST87386374,AN51002882,Vehicle,Insured asset,Ford,Truck,1997,VIN93288983,408 Pine St,Miami,MA,31604.23,Excellent,2018-01-03
AST74068935,AN73814699,Vehicle,Insured asset,Toyota,ModelY,2001,VIN04254547,110 Pine St,Seattle,IL,133203.07,Good,2018-08-11
AST72222012,AN30237527,Equipment,Insured asset,Ford,Truck,2007,VIN53559602,463 Pine St,Miami,FL,165905.7,Fair,2022-06-30
AST89250804,AN57704177,Equipment,Insured asset,Toyota,Sedan,2009,VIN46849622,668 Pine St,Austin,CA,192338.82,Fair,2020-06-05
AST62455864,AN16929731,Equipment,Insured asset,N/A,Truck,2015,VIN21654083,710 Pine St,Boston,MA,203011.77,Excellent,2019-11-23
AST38465018,AN45079468,Vehicle,Insured asset,Toyota,Sedan,2010,VIN88064479,744 Pine St,Chicago,WA,85015.05,Poor,2024-03-15
AST17075887,AN60577213,Vehicle,Insured asset,Ford,ModelX,2005,VIN48236280,186 Pine St,San Jose,NY,100530.97,Good,2020-04-24
AST14960127,AN33969271,Vehicle,Insured asset,Honda,ModelX,2003,VIN16818002,604 Pine St,Chicago,FL,124251.18,Fair,2022-03-19
AST51830480,AN78398206,Equipment,Insured asset,Ford,ModelX,2020,VIN19062592,856 Pine St,Dallas,TX,109367.92,Excellent,2022-04-01
AST29285881,AN74966068,Vehicle,Insured asset,Honda,ModelX,2007,VIN19336396,412 Pine St,Seattle,MA,236444.13,Fair,2024-05-19
AST41961759,AN74546248,Property,Insured asset,Ford,ModelX,2020,VIN24100560,187 Pine St,Dallas,FL,194769.68,Fair,2020-08-12
AST40396142,AN87545049,Vehicle,Insured asset,Ford,ModelY,2004,VIN27710563,453 Pine St,Dallas,IL,196195.38,Fair,2021-02-24
AST08857414,AN72911024,Vehicle,Insured asset,Toyota,Sedan,2015,VIN48265727,982 Pine St,Chicago,IL,109307.63,Fair,2023-01-21
AST86279153,AN70503496,Vehicle,Insured asset,Toyota,Truck,2007,VIN13063491,210 Pine St,Dallas,FL,230014.19,Fair,2025-02-27
AST09834500,AN66370782,Vehicle,Insured asset,N/A,ModelX,2001,VIN50484972,714 Pine St,Austin,MA,96645.2,Fair,2025-05-22
AST56909098,AN98055743,Property,Insured asset,Ford,ModelY,2024,VIN50485006,328 Pine St,Austin,IL,176813.16,Poor,2021-07-31
AST34795258,AN60940580,Equipment,Insured asset,N/A,ModelY,2021,VIN12807037,323 Pine St,Miami,CA,34698.07,Fair,2020-09-17
AST58081906,AN14668217,Vehicle,Insured asset,Toyota,Truck,2013,VIN16606887,633 Pine St,Miami,NY,42374.55,Poor,2022-10-26
AST86002249,AN61811409,Property,Insured asset,Toyota,ModelX,2016,VIN31595214,155 Pine St,Seattle,CA,48628.14,Poor,2022-06-16
AST86683117,AN02562275,Property,Insured asset,Ford,Truck,2012,VIN58337539,722 Pine St,Austin,TX,238780.56,Good,2024-01-01
AST93709289,AN68701071,Equipment,Insured asset,Honda,ModelX,2009,VIN11877150,586 Pine St,San Jose,NY,44709.98,Good,2020-03-21
AST17259119,AN61723340,Equipment,Insured asset,N/A,ModelX,1997,VIN03743681,328 Pine St,Miami,NY,120359.64,Fair,2021-04-16
AST42473967,AN62133562,Equipment,Insured asset,Ford,Sedan,2018,VIN02158320,576 Pine St,Boston,WA,155233.36,Poor,2025-02-18
AST82944242,AN19735726,Vehicle,Insured asset,Honda,ModelX,2009,VIN79084859,788 Pine St,Dallas,NY,21842.48,Poor,2021-09-16
AST83196860,AN25678667,Property,Insured asset,N/A,Sedan,2013,VIN41433703,857 Pine St,Austin,FL,17505.05,Poor,2023-09-03
AST28627894,AN33696454,Equipment,Insured asset,Toyota,ModelX,1997,VIN87584713,906 Pine St,Seattle,TX,195000.15,Excellent,2019-07-17
AST35450280,AN65584994,Equipment,Insured asset,Toyota,Truck,2008,VIN84101425,873 Pine St,Boston,NY,223108.54,Poor,2019-01-12
AST40880891,AN44320083,Property,Insured asset,Ford,ModelX,2017,VIN86853884,944 Pine St,Boston,TX,137985.98,Good,2019-01-12
AST20898440,AN66019673,Equipment,Insured asset,Honda,ModelX,2015,VIN80194269,234 Pine St,Austin,CA,114352.26,Fair,2021-04-05
AST84395810,AN85402464,Vehicle,Insured asset,Honda,Sedan,2019,VIN97372949,282 Pine St,Boston,FL,85277.61,Excellent,2019-10-21
AST94864775,AN82565498,Vehicle,Insured asset,Ford,Truck,2007,VIN34433507,557 Pine St,Boston,WA,19482.4,Poor,2022-06-06
AST18052525,AN07223212,Property,Insured asset,Honda,Sedan,2013,VIN90899617,319 Pine St,Austin,WA,86853.63,Good,2025-09-30
AST92351842,AN77422117,Property,Insured asset,Honda,Sedan,2021,VIN94333193,150 Pine St,Boston,NY,212355.68,Excellent,2025-04-16
AST97996215,AN82036834,Vehicle,Insured asset,Ford,ModelX,2019,VIN07486801,631 Pine St,Boston,TX,209686.1,Fair,2019-07-11
AST17357655,AN30790170,Vehicle,Insured asset,Toyota,Truck,2004,VIN84946073,943 Pine St,Seattle,CA,67493.92,Good,2024-03-09
AST13140701,AN90026361,Vehicle,Insured asset,Toyota,ModelY,2012,VIN06436191,527 Pine St,Dallas,WA,186875.06,Fair,2021-04-01
AST83629786,AN04664746,Vehicle,Insured asset,Toyota,ModelY,2024,VIN64462663,554 Pine St,Miami,CA,23509.38,Good,2023-06-10
AST24887914,AN58020314,Vehicle,Insured asset,Toyota,Truck,2000,VIN09539190,540 Pine St,Austin,WA,244334.73,Excellent,2022-06-04
AST02592733,AN10018571,Vehicle,Insured asset,Toyota,ModelY,2013,VIN05850947,775 Pine St,Dallas,IL,83072.37,Good,2024-11-29
AST85116848,AN18072889,Equipment,Insured asset,Ford,Sedan,2021,VIN23087028,457 Pine St,Miami,MA,176054.4,Good,2024-09-11
AST24576798,AN65361035,Equipment,Insured asset,Honda,Sedan,2022,VIN12792576,633 Pine St,Dallas,WA,181778.96,Excellent,2018-11-16
AST47608237,AN43037607,Property,Insured asset,Ford,Sedan,2005,VIN49555765,497 Pine St,Boston,WA,179742.53,Good,2024-11-01
AST22856368,AN27118661,Equipment,Insured asset,Ford,Truck,2001,VIN84620511,968 Pine St,Chicago,FL,97764.88,Good,2021-08-07
AST75928199,AN12088895,Property,Insured asset,Ford,ModelY,2003,VIN46119812,919 Pine St,Seattle,MA,223814.58,Good,2020-02-15
AST18129385,AN70064071,Equipment,Insured asset,N/A,ModelX,2006,VIN26150066,885 Pine St,Austin,TX,139424.24,Excellent,2022-08-15
AST69990900,AN79695743,Equipment,Insured asset,N/A,ModelX,2003,VIN57290363,789 Pine St,San Jose,CA,78704.71,Fair,2020-03-31
AST60012398,AN14125647,Property,Insured asset,Ford,Sedan,1999,VIN82145929,265 Pine St,Chicago,MA,65932.83,Good,2023-11-28
AST19608486,AN98912539,Vehicle,Insured asset,Honda,ModelX,2022,VIN11878792,387 Pine St,Austin,WA,11764.83,Excellent,2021-08-31
AST90161985,AN07552409,Vehicle,Insured asset,Toyota,ModelX,1997,VIN28404985,205 Pine St,Dallas,IL,146257.1,Poor,2022-01-01
AST23492729,AN01092764,Vehicle,Insured asset,Toyota,Truck,2005,VIN88057820,333 Pine St,Seattle,FL,196706.92,Excellent,2020-10-06
AST65980902,AN61327561,Property,Insured asset,Toyota,Truck,2007,VIN44445904,518 Pine St,San Jose,FL,105904.85,Poor,2019-10-13
AST27727037,AN67332505,Equipment,Insured asset,N/A,ModelY,2015,VIN31257461,723 Pine St,Seattle,NY,172295.41,Poor,2021-11-01
AST28477630,AN92368712,Property,Insured asset,Toyota,Sedan,2023,VIN61535063,566 Pine St,Seattle,MA,184822.24,Poor,2018-01-02
AST59118210,AN83761893,Property,Insured asset,Ford,ModelY,2004,VIN40060547,219 Pine St,Boston,TX,190404.21,Poor,2018-11-27
AST00705367,AN26587446,Vehicle,Insured asset,Toyota,Sedan,2014,VIN06882420,844 Pine St,San Jose,MA,121571.91,Fair,2022-09-04
AST97422324,AN33442164,Equipment,Insured asset,Ford,ModelX,2012,VIN27287989,798 Pine St,Seattle,MA,69800.73,Fair,2023-06-16
AST08390757,AN03183072,Property,Insured asset,Ford,ModelX,2010,VIN05694218,427 Pine St,Miami,MA,75022.42,Poor,2018-11-09
AST98307228,AN84108072,Equipment,Insured asset,Ford,ModelX,1997,VIN55962032,896 Pine St,Dallas,MA,78257.67,Good,2021-04-14
AST39521178,AN65139669,Property,Insured asset,Toyota,Truck,2006,VIN82861688,473 Pine St,Austin,WA,189598.78,Excellent,2022-01-17
AST70279797,AN15598079,Vehicle,Insured asset,N/A,Sedan,2017,VIN74863224,655 Pine St,Austin,MA,192449.67,Good,2025-07-25
AST88178348,AN49510534,Property,Insured asset,Toyota,ModelX,2018,VIN89114058,206 Pine St,Seattle,MA,22200.54,Good,2019-04-19
AST20112468,AN13927757,Vehicle,Insured asset,Toyota,Sedan,2016,VIN38208049,646 Pine St,Seattle,CA,22656.95,Good,2023-07-25
AST57711843,AN66600641,Vehicle,Insured asset,Toyota,Truck,2001,VIN25581970,326 Pine St,San Jose,FL,201577.28,Excellent,2022-04-29
AST45296733,AN84274071,Vehicle,Insured asset,Honda,ModelY,1999,VIN60400320,507 Pine St,Seattle,FL,46918.93,Good,2023-10-27
AST80502766,AN09973874,Property,Insured asset,Ford,Truck,2021,VIN81800737,139 Pine St,Seattle,MA,55618.39,Fair,2021-02-06
AST37866231,AN26236371,Property,Insured asset,N/A,ModelX,1998,VIN94341990,834 Pine St,Boston,MA,42250.54,Poor,2018-06-27
AST05523151,AN66886896,Property,Insured asset,Honda,ModelY,2007,VIN72881438,916 Pine St,Chicago,NY,30153.66,Excellent,2023-03-05
AST18938214,AN58733258,Property,Insured asset,Toyota,Truck,2018,VIN06983085,547 Pine St,Seattle,IL,137209.82,Good,2022-05-18
AST33799703,AN28617267,Equipment,Insured asset,N/A,Truck,1997,VIN78369147,679 Pine St,Boston,MA,5357.68,Fair,2022-05-01
AST08507207,AN13803361,Vehicle,Insured asset,Honda,Truck,2006,VIN32295745,157 Pine St,Chicago,FL,15486.72,Good,2024-05-28
AST80827955,AN06108488,Vehicle,Insured asset,Honda,ModelY,2022,VIN45353609,930 Pine St,Miami,TX,186243.1,Excellent,2020-05-04
AST18511039,AN34873548,Vehicle,Insured asset,Toyota,Sedan,2014,VIN36710807,783 Pine St,Chicago,WA,226304.43,Good,2023-03-25
AST47448560,AN35482540,Vehicle,Insured asset,Ford,ModelY,1997,VIN48965129,750 Pine St,Austin,CA,124798.75,Fair,2025-09-18
AST67971831,AN02304383,Vehicle,Insured asset,Ford,Sedan,2024,VIN72229184,866 Pine St,Boston,WA,235423.93,Excellent,2025-08-28
AST17742329,AN28090794,Vehicle,Insured asset,N/A,Truck,2004,VIN38139729,339 Pine St,Seattle,IL,40946.67,Good,2023-08-28
AST50369455,AN23994915,Property,Insured asset,Honda,ModelY,2017,VIN40529300,110 Pine St,Boston,CA,228940.55,Excellent,2020-07-02
AST61799340,AN81050517,Vehicle,Insured asset,Honda,Sedan,2023,VIN50961648,200 Pine St,Dallas,IL,204287.01,Fair,2020-02-03
AST45161830,AN66753279,Vehicle,Insured asset,N/A,ModelX,2005,VIN75115310,524 Pine St,Miami,CA,5424.22,Fair,2019-06-05
AST92422654,AN10857135,Equipment,Insured asset,Ford,Truck,2016,VIN96291203,194 Pine St,Chicago,IL,226193.02,Excellent,2024-07-13
AST77292250,AN77140023,Vehicle,Insured asset,Toyota,Truck,2025,VIN01767383,874 Pine St,Chicago,WA,149368.13,Good,2018-09-29
AST30948677,AN46889394,Property,Insured asset,Ford,ModelY,2002,VIN32609363,850 Pine St,Miami,NY,202016.94,Poor,2019-02-16
AST29641054,AN25625523,Property,Insured asset,Ford,ModelY,2009,VIN49362654,217 Pine St,Chicago,IL,66482.45,Excellent,2020-03-01
AST32895628,AN22280927,Equipment,Insured asset,Toyota,Sedan,2016,VIN17989948,108 Pine St,Miami,FL,139649.53,Excellent,2021-01-21
AST62405051,AN72943767,Vehicle,Insured asset,N/A,Truck,2024,VIN18286703,180 Pine St,Seattle,CA,165085.24,Excellent,2022-02-22
AST59915250,AN48281450,Equipment,Insured asset,Honda,ModelX,2015,VIN99230464,592 Pine St,Seattle,TX,227412.69,Good,2019-05-23
AST82537384,AN31650153,Vehicle,Insured asset,Ford,ModelX,2012,VIN15037188,910 Pine St,Dallas,IL,63666.88,Poor,2025-04-18
AST83487721,AN64707173,Equipment,Insured asset,Toyota,ModelY,2025,VIN06551066,391 Pine St,Dallas,FL,48825.46,Fair,2018-05-17
AST50850082,AN89148747,Property,Insured asset,N/A,Truck,2023,VIN58350869,880 Pine St,Chicago,NY,210506.4,Good,2022-12-29
AST92823712,AN80589761,Equipment,Insured asset,Toyota,ModelX,2003,VIN23648566,519 Pine St,San Jose,MA,80167.59,Poor,2021-08-27
AST96120455,AN09524039,Equipment,Insured asset,Honda,Truck,2011,VIN79948487,108 Pine St,Seattle,NY,21768.74,Fair,2018-03-31
AST09505793,AN30228122,Property,Insured asset,Ford,Truck,2017,VIN26450237,730 Pine St,Seattle,TX,42345.42,Excellent,2020-06-05
AST04214031,AN05217314,Property,Insured asset,Ford,ModelX,2004,VIN85029060,975 Pine St,Dallas,IL,26113.59,Poor,2021-04-01
AST66478932,AN75658415,Property,Insured asset,N/A,Sedan,1996,VIN08358364,676 Pine St,Chicago,TX,76931.11,Excellent,2021-03-16
AST13325557,AN93136540,Vehicle,Insured asset,Ford,Sedan,2008,VIN78434891,552 Pine St,Dallas,TX,197781.5,Fair,2021-11-21
AST35689476,AN75202261,Equipment,Insured asset,Honda,Truck,1995,VIN75602820,551 Pine St,Miami,NY,247927.02,Excellent,2019-05-20
AST31845912,AN76727820,Equipment,Insured asset,Ford,ModelX,2016,VIN16099964,956 Pine St,Dallas,WA,28114.68,Poor,2021-04-08
AST79833443,AN48972950,Property,Insured asset,Toyota,Sedan,1997,VIN85247683,110 Pine St,Dallas,WA,236599.13,Poor,2024-02-10
AST73273577,AN41484082,Equipment,Insured asset,Ford,Truck,2011,VIN95993379,865 Pine St,Boston,NY,18291.12,Fair,2021-09-11
AST92748678,AN13293255,Property,Insured asset,N/A,ModelY,2018,VIN46390124,297 Pine St,Dallas,FL,174436.11,Excellent,2025-11-13
AST35501541,AN33112016,Vehicle,Insured asset,Toyota,ModelY,2011,VIN09962982,898 Pine St,Austin,TX,219929.8,Excellent,2018-10-14
AST80823491,AN85085078,Property,Insured asset,Ford,Sedan,2009,VIN05988451,923 Pine St,Boston,CA,134660.04,Fair,2018-12-15
AST75906884,AN29827456,Property,Insured asset,Toyota,Truck,2010,VIN50262820,821 Pine St,Miami,NY,211794.31,Good,2022-04-22
AST50429584,AN43432213,Property,Insured asset,Ford,Truck,2020,VIN53238927,283 Pine St,San Jose,NY,182832.45,Good,2019-05-31
AST09673835,AN70974610,Vehicle,Insured asset,N/A,Truck,2005,VIN52367456,216 Pine St,Seattle,WA,206136.6,Poor,2022-06-26
AST02783720,AN02950353,Property,Insured asset,Honda,Truck,1999,VIN67015056,595 Pine St,Miami,IL,247942.13,Fair,2022-12-08
AST33002669,AN46591987,Equipment,Insured asset,Toyota,Sedan,2021,VIN41656762,611 Pine St,Seattle,IL,228325.61,Poor,2025-09-13
AST15934415,AN70386075,Equipment,Insured asset,Honda,ModelY,2015,VIN07877452,351 Pine St,Austin,IL,200402.75,Fair,2025-11-29
AST69773877,AN82917407,Equipment,Insured asset,Honda,Truck,2007,VIN22935008,729 Pine St,Boston,TX,188690.09,Fair,2022-08-19
AST21512880,AN21235404,Equipment,Insured asset,Ford,ModelY,2015,VIN91303381,193 Pine St,Boston,CA,139271.72,Fair,2023-04-29
AST31490341,AN65044719,Equipment,Insured asset,N/A,ModelY,2002,VIN53052818,208 Pine St,San Jose,IL,72485.57,Excellent,2018-03-19
AST16818682,AN99818552,Vehicle,Insured asset,Ford,Truck,2015,VIN58260017,141 Pine St,San Jose,WA,221822.26,Fair,2025-08-12
AST92217720,AN82873905,Property,Insured asset,Honda,Sedan,2024,VIN80604003,518 Pine St,Chicago,CA,48821.62,Excellent,2025-05-03
AST37742820,AN43183027,Property,Insured asset,Honda,ModelY,2003,VIN73286843,792 Pine St,Chicago,CA,29941.95,Good,2021-03-21
AST70370979,AN81329360,Property,Insured asset,Honda,ModelX,2010,VIN38870991,121 Pine St,San Jose,TX,111080.5,Excellent,2022-01-06
AST03729229,AN98645598,Vehicle,Insured asset,N/A,Sedan,1995,VIN51922026,608 Pine St,Dallas,CA,145760.1,Good,2021-12-19
AST15238382,AN45135690,Property,Insured asset,Honda,Sedan,2005,VIN36422187,995 Pine St,Dallas,WA,45985.72,Good,2022-08-07
AST58927907,AN11151020,Vehicle,Insured asset,Honda,ModelX,1997,VIN40111670,422 Pine St,Dallas,TX,108334.49,Fair,2021-01-23
AST96132097,AN67373370,Property,Insured asset,Ford,Sedan,2011,VIN40361583,447 Pine St,Dallas,IL,168443.59,Fair,2021-08-06
AST45746879,AN38423384,Property,Insured asset,Ford,ModelY,2020,VIN61370148,322 Pine St,Chicago,IL,103122.1,Excellent,2023-11-15
AST20656833,AN03767693,Vehicle,Insured asset,N/A,ModelX,2006,VIN19248047,818 Pine St,San Jose,MA,148368.54,Good,2023-01-16
AST85105636,AN99824308,Vehicle,Insured asset,Ford,ModelY,1998,VIN05142540,276 Pine St,Austin,WA,193588.48,Good,2020-01-23
AST52897330,AN29413342,Property,Insured asset,Toyota,ModelY,2011,VIN33825351,508 Pine St,Miami,IL,112679.02,Fair,2019-05-10
AST42360615,AN01395644,Property,Insured asset,N/A,ModelY,2025,VIN49711741,688 Pine St,San Jose,FL,200261.28,Poor,2021-09-24
AST51616253,AN08456901,Property,Insured asset,Honda,Sedan,2022,VIN00767451,770 Pine St,Dallas,CA,95902.21,Excellent,2020-02-06
AST03024312,AN71373580,Equipment,Insured asset,Honda,Sedan,2002,VIN01380272,756 Pine St,Dallas,CA,150061.87,Poor,2019-12-01
AST34513629,AN45195852,Property,Insured asset,N/A,Sedan,1997,VIN46722680,632 Pine St,Austin,CA,159041.03,Excellent,2024-04-27
AST89476605,AN55171707,Equipment,Insured asset,N/A,ModelX,1997,VIN54110186,534 Pine St,Austin,MA,214166.17,Poor,2022-06-09
AST53605726,AN14640499,Equipment,Insured asset,Ford,Truck,2023,VIN51732570,441 Pine St,San Jose,TX,39749.51,Poor,2023-07-29
AST84211779,AN11428660,Vehicle,Insured asset,Ford,Truck,2007,VIN64502531,211 Pine St,Chicago,WA,173541.07,Poor,2024-06-17
AST92804319,AN40849414,Equipment,Insured asset,Toyota,Truck,2005,VIN79922837,713 Pine St,Dallas,NY,88622.0,Excellent,2021-11-23
AST98209496,AN86701998,Property,Insured asset,Ford,Sedan,2010,VIN71320674,922 Pine St,Boston,WA,215692.34,Excellent,2023-04-10
AST24953802,AN36539128,Vehicle,Insured asset,Toyota,ModelX,2001,VIN26124340,524 Pine St,Miami,MA,85950.99,Excellent,2025-02-08
AST48322471,AN54446046,Equipment,Insured asset,Toyota,ModelX,2021,VIN73619691,187 Pine St,San Jose,NY,54548.87,Poor,2018-10-12
AST77262903,AN32555359,Property,Insured asset,N/A,ModelX,2020,VIN02072547,279 Pine St,San Jose,WA,43061.18,Excellent,2018-03-19
