claim_event_id,event_number,claim_id,adjuster_id,event_type,description,status,created_at,completed_at,notes,cost_usd
EV45491313,E95287209,CLM94434542,ADJ26179641,Inspection,Workflow step,Pending,2023-12-23,2018-02-17,Notes,4627.93
EV51111041,E53646720,CLM18893134,ADJ05916367,Inspection,Workflow step,Pending,2020-05-16,2019-11-11,Notes,3819.98
EV10971164,E84846831,CLM99019131,ADJ42731917,Inspection,Workflow step,Active,2019-02-28,2021-02-08,Notes,2689.86
EV65400695,E10423854,CLM16482721,ADJ04309691,Update,Workflow step,Active,2024-09-24,2022-01-29,Notes,1710.25
EV21182130,E21464031,CLM72533673,ADJ23877373,Inspection,Workflow step,Cancelled,2020-11-07,2021-01-12,Notes,3782.53
EV75066137,E06326579,CLM18702842,ADJ75024508,Inspection,Workflow step,Pending,2021-11-09,2020-10-10,Notes,4785.67
EV92997880,E16139811,CLM14986766,ADJ64835881,Update,Workflow step,Active,2018-03-30,2018-08-30,Notes,1963.6
EV30604897,E47035423,CLM05130616,ADJ84692742,Approval,Workflow step,Cancelled,2021-01-20,2023-10-25,Notes,2738.78
EV48258213,E42475974,CLM28556677,ADJ41722218,Update,Workflow step,Active,2022-05-14,2025-12-31,Notes,1183.5
EV49561240,E93226100,CLM35980639,ADJ26299378,Update,Workflow step,Pending,2023-04-28,2023-02-16,Notes,940.1
EV65622258,E75154261,CLM93837888,ADJ11307246,Approval,Workflow step,Closed,2019-01-14,2018-04-27,Notes,3352.26
EV60856783,E30490391,CLM88018969,ADJ84433305,Inspection,Workflow step,Pending,2025-05-20,2018-05-13,Notes,4332.89
EV49484632,E34821057,CLM29093641,ADJ84814631,Update,Workflow step,Active,2025-07-26,2023-09-01,Notes,4995.02
EV85636267,E66067715,CLM35238844,ADJ14812118,Update,Workflow step,Cancelled,2025-11-11,2019-04-28,Notes,555.22
EV36865562,E91972108,CLM18482315,ADJ12687828,Inspection,Workflow step,Cancelled,2018-01-31,2019-04-09,Notes,502.04
EV81802104,E28505954,CLM56150917,ADJ98042529,Inspection,Workflow step,Cancelled,2019-08-14,2018-08-29,Notes,89.97
EV08770853,E59626751,CLM56911558,ADJ96564669,Inspection,Workflow step,Closed,2018-03-15,2025-08-08,Notes,1652.91
EV85453654,E53376651,CLM62213906,ADJ54580011,Update,Workflow step,Closed,2020-03-04,2024-12-29,Notes,1249.66
EV17317556,E53034947,CLM68780240,ADJ36986172,Approval,Workflow step,Active,2022-08-05,2019-06-01,Notes,2875.88
EV97043714,E13360717,CLM75735551,ADJ99495746,Inspection,Workflow step,Active,2021-08-16,2024-05-28,Notes,3375.34
EV29841068,E77494962,CLM35805201,ADJ65078716,Inspection,Workflow step,Active,2025-11-30,2024-08-02,Notes,2883.53
EV06446029,E74223131,CLM91188565,ADJ18297803,Approval,Workflow step,Pending,2020-11-02,2021-07-10,Notes,3178.52
EV40218189,E86299200,CLM39625315,ADJ56729083,Inspection,Workflow step,Closed,2024-08-15,2025-06-13,Notes,1914.48
EV61766805,E69835632,CLM37527585,ADJ65414870,Inspection,Workflow step,Closed,2020-08-28,2019-10-07,Notes,65.9
EV26981393,E75257220,CLM92808435,ADJ01995528,Approval,Workflow step,Cancelled,2019-07-28,2025-06-11,Notes,2351.74
EV77069926,E09470063,CLM03267163,ADJ43303690,Approval,Workflow step,Cancelled,2018-01-18,2018-04-10,Notes,4752.53
EV76152928,E76841818,CLM88422324,ADJ60532385,Inspection,Workflow step,Pending,2018-10-25,2021-10-29,Notes,4634.12
EV94370045,E68018549,CLM72829617,ADJ45659988,Update,Workflow step,Active,2021-05-27,2019-09-20,Notes,4156.41
EV97278396,E51577333,CLM10135949,ADJ86018849,Inspection,Workflow step,Active,2022-03-02,2018-09-11,Notes,4658.4
EV10424760,E81720001,CLM77398406,ADJ83640316,Update,Workflow step,Pending,2025-07-28,2018-07-24,Notes,4340.57
EV41618617,E57620855,CLM79755284,ADJ87606806,Update,Workflow step,Pending,2018-04-12,2020-08-17,Notes,589.02
EV92486452,E93522018,CLM14282845,ADJ14897371,Update,Workflow step,Pending,2019-07-20,2023-02-23,Notes,2051.46
EV28650719,E15149930,CLM49316816,ADJ07220637,Approval,Workflow step,Active,2021-09-18,2019-11-01,Notes,2711.36
EV97688593,E34817714,CLM61974855,ADJ67490129,Update,Workflow step,Pending,2022-07-04,2021-11-29,Notes,2115.79
EV55630639,E51828862,CLM49212155,ADJ66249585,Update,Workflow step,Pending,2022-06-09,2025-05-29,Notes,780.93
EV78734585,E00043953,CLM79016163,ADJ18854930,Update,Workflow step,Active,2024-10-22,2023-05-01,Notes,2761.71
EV22429038,E38890651,CLM33621105,ADJ29653954,Update,Workflow step,Cancelled,2025-07-31,2020-04-13,Notes,4651.56
EV03525570,E76444399,CLM27502998,ADJ61178787,Inspection,Workflow step,Closed,2019-10-15,2025-04-19,Notes,3654.35
EV79585441,E86074351,CLM88705115,ADJ76117418,Inspection,Workflow step,Closed,2020-10-12,2021-09-28,Notes,3796.19
EV96581324,E49872753,CLM78771540,ADJ27832194,Update,Workflow step,Cancelled,2019-06-10,2018-10-05,Notes,3653.99
EV95076536,E87437031,CLM39821288,ADJ30601187,Inspection,Workflow step,Closed,2025-06-01,2020-02-27,Notes,3081.75
EV99562773,E48025039,CLM07077722,ADJ23360543,Update,Workflow step,Active,2021-10-01,2023-03-06,Notes,4024.0
EV65072994,E35683393,CLM47315447,ADJ48662100,Inspection,Workflow step,Active,2022-07-02,2021-03-20,Notes,162.78
EV34978861,E00447148,CLM49535993,ADJ29760618,Approval,Workflow step,Closed,2023-09-30,2024-05-07,Notes,3084.81
EV75187428,E34280410,CLM16011755,ADJ44078905,Update,Workflow step,Pending,2025-10-13,2019-01-16,Notes,3178.88
EV60204130,E75004277,CLM76318046,ADJ80943899,Approval,Workflow step,Closed,2019-09-11,2020-10-02,Notes,2970.62
EV14063696,E66951248,CLM44363633,ADJ00753627,Approval,Workflow step,Cancelled,2020-03-27,2018-08-26,Notes,3644.62
EV02644190,E98246928,CLM47303180,ADJ01355457,Inspection,Workflow step,Active,2023-03-30,2021-11-09,Notes,2637.56
EV06004142,E28137152,CLM30449075,ADJ09823335,Approval,Workflow step,Closed,2025-10-26,2022-05-08,Notes,602.12
EV91488147,E65351001,CLM50578585,ADJ26295590,Inspection,Workflow step,Active,2020-10-13,2025-12-28,Notes,482.14
EV69612392,E08884940,CLM45701590,ADJ21937054,Approval,Workflow step,Active,2024-12-28,2019-03-30,Notes,911.11
EV11708286,E46250238,CLM33908415,ADJ33755811,Update,Workflow step,Cancelled,2025-01-25,2022-11-21,Notes,1569.71
EV14883076,E54702799,CLM27868586,ADJ91029296,Approval,Workflow step,Closed,2018-06-14,2019-03-02,Notes,3745.43
EV75329687,E67996908,CLM36345194,ADJ85852764,Update,Workflow step,Active,2018-03-09,2018-07-18,Notes,1317.18
EV48140579,E08809897,CLM08965808,ADJ26876846,Approval,Workflow step,Cancelled,2021-10-03,2022-08-09,Notes,184.95
EV26565989,E34870405,CLM95874459,ADJ61076511,Approval,Workflow step,Active,2022-06-06,2020-07-28,Notes,3170.3
EV90750926,E94309356,CLM20033723,ADJ07511830,Inspection,Workflow step,Cancelled,2019-01-09,2020-03-03,Notes,748.85
EV27376288,E39406612,CLM51087755,ADJ28884579,Approval,Workflow step,Closed,2018-02-09,2019-10-17,Notes,2868.06
EV76052742,E97650981,CLM02453085,ADJ57676631,Update,Workflow step,Active,2021-08-24,2020-08-06,Notes,2502.68
EV83333156,E93041509,CLM30216440,ADJ97991033,Update,Workflow step,Cancelled,2025-09-23,2021-10-01,Notes,1029.32
EV27648003,E77160056,CLM43789112,ADJ71238011,Inspection,Workflow step,Cancelled,2019-10-24,2019-08-05,Notes,193.08
EV75643113,E51909396,CLM36563032,ADJ72625190,Update,Workflow step,Closed,2019-10-08,2022-06-18,Notes,1285.9
EV01148524,E66839428,CLM43815588,ADJ80015990,Update,Workflow step,Active,2023-01-23,2019-11-14,Notes,1204.27
EV16750687,E90523880,CLM34408156,ADJ07343925,Update,Workflow step,Cancelled,2021-10-23,2022-11-20,Notes,1504.06
EV44738277,E97442710,CLM61500795,ADJ68847927,Update,Workflow step,Closed,2024-01-22,2022-10-24,Notes,788.94
EV39386077,E08410685,CLM06835117,ADJ60091594,Update,Workflow step,Cancelled,2022-12-08,2021-12-04,Notes,1376.97
EV73579350,E54680843,CLM90339990,ADJ58124294,Update,Workflow step,Cancelled,2019-07-28,2024-02-29,Notes,2137.47
EV41876577,E10130328,CLM40251681,ADJ34860748,Approval,Workflow step,Cancelled,2021-09-03,2024-11-05,Notes,1700.83
EV12771418,E22825440,CLM21406310,ADJ73785813,Update,Workflow step,Active,2019-06-30,2023-05-18,Notes,4951.4
EV20820278,E43760019,CLM81587482,ADJ39299617,Update,Workflow step,Active,2021-09-11,2023-12-08,Notes,1616.67
EV25970621,E07446472,CLM83137928,ADJ71398603,Inspection,Workflow step,Closed,2021-10-22,2020-08-23,Notes,4527.52
EV40068143,E27635287,CLM80085518,ADJ66646920,Approval,Workflow step,Closed,2024-06-22,2021-06-24,Notes,2748.47
EV69492286,E19441852,CLM43440290,ADJ51027430,Approval,Workflow step,Pending,2022-03-28,2023-10-30,Notes,3931.6
EV39172787,E79775536,CLM10477240,ADJ39209465,Approval,Workflow step,Active,2020-04-12,2025-04-16,Notes,3586.1
EV61985536,E71956277,CLM48498448,ADJ86759766,Update,Workflow step,Pending,2025-04-29,2019-09-13,Notes,54.56
EV83570566,E93226824,CLM72449155,ADJ68611505,Approval,Workflow step,Pending,2025-08-29,2023-06-03,Notes,3126.08
EV13623959,E11589999,CLM43012416,ADJ08109792,Update,Workflow step,Closed,2019-10-27,2021-09-24,Notes,1222.68
EV34397714,E64304534,CLM83879864,ADJ89814621,Approval,Workflow step,Active,2023-02-08,2024-03-21,Notes,546.79
EV54649048,E57642791,CLM53278757,ADJ59395059,Update,Workflow step,Cancelled,2018-05-21,2022-02-11,Notes,2041.08
EV12092826,E72260079,CLM17777156,ADJ91029296,Inspection,Workflow step,Closed,2023-09-12,2018-10-02,Notes,1101.57
EV00190492,E03583729,CLM26002502,ADJ71864994,Approval,Workflow step,Active,2025-07-05,2021-08-24,Notes,1458.15
EV62797536,E43620684,CLM32955454,ADJ85350981,Inspection,Workflow step,Cancelled,2022-08-07,2019-08-15,Notes,4207.32
EV64486219,E95946638,CLM46333299,ADJ94155826,Update,Workflow step,Cancelled,2024-10-21,2024-09-28,Notes,1048.64
EV34183435,E42518497,CLM92548934,ADJ79697030,Approval,Workflow step,Cancelled,2018-06-25,2019-06-15,Notes,1360.48
EV75580048,E41296667,CLM64289980,ADJ47137927,Update,Workflow step,Closed,2024-08-04,2018-08-07,Notes,3419.84
EV97113311,E21165816,CLM83257014,ADJ32375131,Inspection,Workflow step,Active,2018-01-02,2018-06-14,Notes,2521.0
EV93088601,E23014895,CLM73739627,ADJ07256209,Update,Workflow step,Active,2022-03-12,2024-05-26,Notes,2228.13
EV23663660,E25370726,CLM31387649,ADJ40219843,Update,Workflow step,Closed,2019-05-26,2020-12-01,Notes,4646.39
EV69067552,E37495825,CLM11755814,ADJ94080311,Update,Workflow step,Cancelled,2018-07-18,2022-04-20,Notes,1611.69
EV69293966,E25810870,CLM82281071,ADJ45787005,Update,Workflow step,Pending,2024-06-28,2024-04-14,Notes,1893.82
EV54475800,E71201188,CLM51014990,ADJ07347859,Inspection,Workflow step,Closed,2018-11-01,2025-09-13,Notes,2688.2
EV65962363,E60566913,CLM63722351,ADJ58424670,Update,Workflow step,Cancelled,2019-10-21,2019-07-17,Notes,1511.01
EV35414481,E90286982,CLM29371320,ADJ01323959,Approval,Workflow step,Cancelled,2024-09-12,2023-05-31,Notes,4706.94
EV06091747,E92697642,CLM99642420,ADJ48951492,Approval,Workflow step,Closed,2021-04-10,2020-10-08,Notes,1696.03
EV89636621,E69327056,CLM06749859,ADJ19159380,Update,Workflow step,Active,2018-10-19,2019-09-12,Notes,4021.79
EV32768427,E85415990,CLM98538975,ADJ49306117,Inspection,Workflow step,Pending,2018-11-06,2023-07-09,Notes,4136.69
EV42610907,E48286138,CLM76551656,ADJ51937108,Update,Workflow step,Closed,2025-01-07,2022-08-03,Notes,162.81
EV03477075,E02856307,CLM28711131,ADJ02170577,Inspection,Workflow step,Active,2019-10-13,2023-09-23,Notes,1091.6
EV39573983,E56115713,CLM18604800,ADJ19831017,Inspection,Workflow step,Closed,2018-10-03,2025-10-30,Notes,2784.04
EV14910515,E37780447,CLM63817969,ADJ65448152,Update,Workflow step,Active,2020-05-12,2024-04-13,Notes,58.46
EV58546228,E83839979,CLM41663468,ADJ28462755,Approval,Workflow step,Cancelled,2019-02-14,2023-12-03,Notes,386.09
EV79720888,E43742478,CLM61511631,ADJ06811678,Approval,Workflow step,Closed,2019-08-01,2023-03-22,Notes,626.04
EV47540171,E08232581,CLM51330062,ADJ39635095,Update,Workflow step,Closed,2024-05-18,2024-06-21,Notes,4284.57
EV48943311,E91270647,CLM86284604,ADJ06636337,Update,Workflow step,Cancelled,2021-08-29,2024-04-30,Notes,2925.7
EV44704081,E48297742,CLM47320916,ADJ66000145,Approval,Workflow step,Active,2025-10-15,2023-02-23,Notes,3092.27
EV19611410,E29856269,CLM98456821,ADJ62305527,Approval,Workflow step,Active,2025-12-24,2018-12-26,Notes,1566.43
EV39797037,E19716368,CLM92871519,ADJ10137294,Inspection,Workflow step,Active,2024-10-31,2022-10-19,Notes,3874.16
EV48900954,E63654506,CLM89726782,ADJ36265680,Inspection,Workflow step,Pending,2018-06-29,2018-12-22,Notes,1084.63
EV93202620,E34478981,CLM97334895,ADJ71654024,Inspection,Workflow step,Active,2024-02-06,2020-07-08,Notes,3818.89
EV42135159,E92511125,CLM72367716,ADJ23205697,Approval,Workflow step,Cancelled,2019-09-01,2020-05-04,Notes,3777.38
EV93812661,E36354446,CLM51014990,ADJ96787739,Update,Workflow step,Cancelled,2023-09-08,2022-04-24,Notes,827.3
EV34398535,E40656542,CLM57031357,ADJ26293740,Update,Workflow step,Cancelled,2020-09-11,2018-08-24,Notes,2489.22
EV84161299,E20466576,CLM60013218,ADJ23547872,Update,Workflow step,Closed,2021-01-03,2023-04-28,Notes,2074.09
EV17273685,E03119356,CLM31448295,ADJ52843698,Inspection,Workflow step,Active,2022-11-03,2018-09-18,Notes,569.42
EV09246416,E56382984,CLM09437109,ADJ15466719,Approval,Workflow step,Closed,2022-08-10,2018-06-20,Notes,2916.34
EV40891137,E00190477,CLM12477380,ADJ34138185,Approval,Workflow step,Cancelled,2023-12-30,2018-06-14,Notes,3690.75
EV18734930,E10860027,CLM00846523,ADJ80219327,Approval,Workflow step,Pending,2022-06-30,2024-06-13,Notes,2943.27
EV67537189,E24027020,CLM00979033,ADJ30128145,Update,Workflow step,Active,2021-08-17,2022-11-10,Notes,941.15
EV38947711,E53915549,CLM06445152,ADJ27917576,Inspection,Workflow step,Cancelled,2020-07-19,2024-03-15,Notes,4993.06
EV94154446,E48095556,CLM32823181,ADJ90570246,Inspection,Workflow step,Active,2023-02-11,2022-12-07,Notes,1025.88
EV95278247,E49507511,CLM22303182,ADJ79367403,Update,Workflow step,Closed,2024-06-13,2023-07-22,Notes,3264.04
EV32373305,E75274305,CLM45706600,ADJ87543421,Approval,Workflow step,Cancelled,2023-04-08,2021-04-19,Notes,1284.69
EV44620247,E41135303,CLM76947384,ADJ24466591,Update,Workflow step,Pending,2018-04-28,2024-09-12,Notes,242.29
EV31557098,E36114260,CLM54093392,ADJ66918260,Inspection,Workflow step,Cancelled,2021-01-08,2018-02-18,Notes,4498.94
EV84808607,E59738539,CLM61560180,ADJ90690660,Inspection,Workflow step,Active,2022-01-14,2025-10-12,Notes,2695.26
EV81052473,E43303814,CLM71115566,ADJ71660000,Inspection,Workflow step,Cancelled,2022-11-07,2019-03-14,Notes,2785.82
EV16209031,E05170906,CLM97238929,ADJ45105606,Inspection,Workflow step,Cancelled,2020-09-04,2023-10-19,Notes,2129.35
EV93241983,E33601173,CLM83456620,ADJ18689871,Inspection,Workflow step,Pending,2018-07-05,2023-09-05,Notes,4573.49
EV28224431,E45704785,CLM13059798,ADJ54486043,Approval,Workflow step,Cancelled,2024-03-24,2020-04-17,Notes,1718.4
EV78186165,E72325732,CLM73922681,ADJ99910185,Approval,Workflow step,Closed,2022-02-22,2023-11-01,Notes,2243.05
EV70496481,E33121589,CLM07605751,ADJ98866663,Inspection,Workflow step,Active,2018-09-14,2021-04-17,Notes,4922.22
EV19257407,E16270887,CLM19606147,ADJ73387976,Update,Workflow step,Closed,2025-02-02,2023-06-04,Notes,4292.56
EV52372162,E42377581,CLM53568114,ADJ57514202,Inspection,Workflow step,Active,2022-10-16,2020-06-28,Notes,3376.26
EV95959523,E25124659,CLM90352470,ADJ59133994,Update,Workflow step,Closed,2023-01-28,2021-07-19,Notes,3847.81
EV37789965,E36782253,CLM40346091,ADJ13419739,Approval,Workflow step,Cancelled,2019-09-27,2019-04-26,Notes,550.24
EV20198995,E86978500,CLM61789520,ADJ40993905,Inspection,Workflow step,Pending,2022-07-28,2022-10-28,Notes,4161.75
EV38576924,E79007690,CLM58372038,ADJ15925353,Inspection,Workflow step,Cancelled,2025-03-04,2024-02-17,Notes,3904.78
EV99817996,E51168687,CLM45866167,ADJ34028028,Inspection,Workflow step,Pending,2025-12-17,2023-11-18,Notes,1422.48
EV06500525,E38846369,CLM00449574,ADJ82885315,Approval,Workflow step,Active,2019-04-07,2022-09-29,Notes,260.58
EV58977399,E90252839,CLM26359686,ADJ25926032,Approval,Workflow step,Active,2020-10-26,2019-06-10,Notes,3372.6
EV39255150,E12843986,CLM84818733,ADJ62095186,Inspection,Workflow step,Pending,2018-04-26,2018-09-18,Notes,2449.43
EV02447810,E97226590,CLM03046997,ADJ85409958,Inspection,Workflow step,Closed,2020-02-28,2020-03-27,Notes,470.55
EV59339913,E36414595,CLM03135430,ADJ69239156,Approval,Workflow step,Pending,2021-08-06,2025-11-27,Notes,2034.41
EV68676162,E93021229,CLM67950113,ADJ48923824,Update,Workflow step,Closed,2021-02-15,2019-01-09,Notes,3148.33
EV13183324,E81296792,CLM31316042,ADJ18907514,Inspection,Workflow step,Closed,2025-12-05,2022-10-31,Notes,724.83
EV04443932,E66408736,CLM71147421,ADJ62600783,Inspection,Workflow step,Cancelled,2023-02-07,2023-09-29,Notes,2340.83
EV11297662,E10819851,CLM27020375,ADJ93988839,Update,Workflow step,Closed,2021-07-22,2025-08-03,Notes,4610.0
EV21487479,E90309224,CLM13885376,ADJ14144061,Inspection,Workflow step,Pending,2018-08-15,2023-06-18,Notes,751.87
EV40760247,E34146510,CLM27252955,ADJ29855601,Update,Workflow step,Cancelled,2018-06-02,2025-10-13,Notes,882.86
EV43935029,E90277130,CLM90013201,ADJ72992941,Update,Workflow step,Pending,2023-09-02,2022-11-22,Notes,2203.83
EV37361025,E88405855,CLM52256965,ADJ72870178,Update,Workflow step,Pending,2025-09-11,2020-07-29,Notes,3023.46
