policy_id,policy_number,policyholder_id,asset_id,policy_type,coverage_amount,deductible,premium_annual,effective_date,expiration_date,status,underwriter
POL22790739,P12485025,PH88245188,AST14178415,Commercial,756921.41,9032.84,2173.86,2019-02-19,2021-04-25,Cancelled,UW-Team
POL49058308,P82573973,PH76664390,AST69870057,Commercial,331293.26,9944.46,8388.12,2018-07-14,2025-03-18,Cancelled,UW-Team
POL80813802,P69728665,PH06958792,AST84668561,Auto,594944.62,3744.43,2958.87,2024-11-14,2019-01-10,Pending,UW-Team
POL85413787,P93977422,PH92852865,AST00506875,Auto,975260.99,6757.67,14882.62,2025-08-29,2023-03-16,Active,UW-Team
POL39028348,P05677668,PH71568376,AST77762157,Commercial,507519.96,6846.02,9319.05,2024-04-21,2020-03-02,Active,UW-Team
POL17588903,P03284400,PH54834589,AST44722855,Home,309576.39,6836.08,11249.95,2021-05-01,2023-04-18,Pending,UW-Team
POL27154822,P75878262,PH03012166,AST50868471,Auto,287006.72,9183.81,11388.95,2019-04-17,2024-10-18,Closed,UW-Team
POL43348344,P55151377,PH70786518,AST11195804,Home,494822.21,7382.37,7120.66,2024-01-07,2020-03-25,Active,UW-Team
POL87340082,P74616062,PH45775164,AST97091551,Life,966335.09,8806.82,5360.78,2025-04-07,2019-04-27,Active,UW-Team
POL67137556,P18364592,PH15712464,AST41287411,Home,237634.94,1486.22,1904.31,2023-07-22,2021-08-02,Closed,UW-Team
POL69771763,P26775044,PH12216879,AST92850704,Life,655879.98,9213.28,804.69,2023-02-03,2022-06-08,Cancelled,UW-Team
POL75236991,P11342310,PH48688597,AST04007432,Life,604121.6,1053.65,711.0,2024-08-16,2019-06-27,Cancelled,UW-Team
POL90043268,P09565159,PH75613173,AST05506733,Home,665686.03,8816.19,6700.34,2020-03-05,2025-09-29,Active,UW-Team
POL66042027,P36798561,PH23356354,AST93943307,Commercial,899597.92,8979.83,9305.84,2022-11-21,2021-07-30,Closed,UW-Team
POL97742782,P59430959,PH30280851,AST28720247,Home,675666.85,2088.34,759.36,2019-10-30,2023-08-25,Cancelled,UW-Team
POL82418581,P48555973,PH15688152,AST02365237,Life,502823.11,5690.92,6994.44,2020-02-01,2024-11-07,Active,UW-Team
POL41653644,P13045787,PH66218718,AST12377404,Commercial,949468.0,545.24,888.88,2024-10-19,2022-12-18,Active,UW-Team
POL96916309,P09715792,PH24211009,AST73559734,Life,611386.08,7576.04,4889.22,2020-02-20,2024-05-21,Cancelled,UW-Team
POL56175309,P30048893,PH59432082,AST19599336,Commercial,633493.92,7491.95,1813.23,2024-08-07,2018-08-21,Pending,UW-Team
POL27657196,P58573584,PH48371441,AST05632682,Auto,406928.63,8498.26,10197.84,2025-05-26,2023-09-05,Closed,UW-Team
POL71601359,P25040836,PH18092561,AST33136123,Life,914367.06,4443.12,6571.23,2020-07-12,2022-07-03,Active,UW-Team
POL89561305,P19993891,PH54075739,AST85871291,Home,314684.38,7392.68,12138.61,2022-12-01,2024-05-31,Pending,UW-Team
POL53538077,P23928312,PH08917597,AST13371642,Commercial,869643.55,7182.79,8777.38,2023-01-19,2022-11-20,Closed,UW-Team
POL89638533,P85190924,PH83869185,AST76758285,Commercial,726428.05,3837.04,10441.7,2022-06-07,2024-09-24,Closed,UW-Team
POL32968012,P48384957,PH23104425,AST59203572,Life,812060.75,4869.36,6783.17,2025-04-27,2023-12-17,Closed,UW-Team
POL06603769,P49636280,PH20155336,AST17568137,Commercial,58388.81,9617.14,12503.54,2025-03-07,2021-03-14,Closed,UW-Team
POL10208465,P12975969,PH99052943,AST49963852,Commercial,331128.77,4254.03,2223.54,2020-07-15,2025-01-07,Active,UW-Team
POL88277460,P86142736,PH48785051,AST25366817,Home,703288.82,7735.92,6584.17,2021-11-27,2022-04-22,Closed,UW-Team
POL25162729,P61937451,PH18620920,AST69005588,Auto,541556.4,8285.66,14594.97,2018-10-30,2025-08-24,Pending,UW-Team
POL96148884,P88265891,PH30869292,AST78472488,Life,943838.85,5580.1,4493.27,2022-12-25,2023-06-12,Active,UW-Team
POL52209014,P06357024,PH43876262,AST39951868,Auto,471804.59,9699.37,12567.31,2021-04-03,2021-11-09,Closed,UW-Team
POL88339459,P98617350,PH98969948,AST46460376,Auto,296402.21,850.27,12223.8,2019-02-12,2020-04-27,Cancelled,UW-Team
POL00482539,P34509731,PH58394612,AST80623061,Commercial,322059.23,3708.76,918.2,2024-04-07,2018-05-26,Active,UW-Team
POL67091088,P56823753,PH69293192,AST91673589,Life,769477.04,5552.94,4788.8,2024-07-24,2025-03-23,Closed,UW-Team
POL04448895,P01782309,PH92274209,AST96767321,Life,58719.99,9833.43,12036.46,2021-10-27,2023-04-01,Closed,UW-Team
POL47011873,P54813050,PH75717274,AST55322169,Home,249412.34,7569.7,2499.97,2019-07-20,2024-06-24,Closed,UW-Team
POL41081665,P30278738,PH75203819,AST43665164,Auto,289270.19,8001.35,6364.18,2025-03-05,2021-07-28,Pending,UW-Team
POL57266354,P01543717,PH06972169,AST11400116,Commercial,796264.36,4351.32,11462.47,2024-05-13,2021-04-13,Closed,UW-Team
POL58682318,P91378552,PH57583383,AST05521172,Commercial,316734.26,4896.43,1522.29,2018-05-05,2022-12-05,Cancelled,UW-Team
POL90318322,P73901368,PH18536978,AST21791878,Life,648503.54,6735.81,4516.92,2025-02-02,2018-03-28,Pending,UW-Team
POL63392847,P24807315,PH55504171,AST59845311,Auto,712823.84,7136.25,4056.3,2020-11-28,2025-06-14,Pending,UW-Team
POL77995453,P22001234,PH32147579,AST34531823,Auto,636080.59,8399.34,3869.71,2021-09-20,2023-04-10,Closed,UW-Team
POL73579519,P34206945,PH95060018,AST39033174,Auto,883566.21,2599.36,9360.6,2022-12-13,2024-12-20,Closed,UW-Team
POL32881592,P69963004,PH51986737,AST45971579,Auto,818451.9,2781.46,14436.59,2025-02-11,2023-03-07,Cancelled,UW-Team
POL84514581,P02244168,PH09302352,AST99447286,Life,535447.37,9751.12,10846.06,2022-09-04,2018-07-25,Pending,UW-Team
POL62147441,P23413586,PH77492657,AST76242974,Home,696260.57,8802.86,1162.24,2020-03-08,2024-05-26,Cancelled,UW-Team
POL66133687,P95654380,PH10514808,AST83556768,Commercial,298166.93,8612.99,13172.7,2021-08-27,2023-09-21,Pending,UW-Team
POL31119405,P93887692,PH32304737,AST93868258,Auto,101338.92,8718.64,6684.78,2022-06-17,2018-10-11,Active,UW-Team
POL74164114,P06077655,PH36407249,AST10370191,Life,690023.51,7336.16,12041.64,2024-01-18,2023-04-15,Cancelled,UW-Team
POL45564018,P79725607,PH85251670,AST24982990,Auto,507934.68,2647.67,13487.59,2025-07-09,2018-06-06,Active,UW-Team
POL53208040,P73733971,PH56317019,AST40364280,Home,485986.65,5423.97,3658.5,2024-01-22,2025-07-17,Active,UW-Team
POL12459631,P88778022,PH88041071,AST01301401,Auto,319868.88,6473.98,9988.02,2020-10-14,2020-08-02,Pending,UW-Team
POL18695021,P84202533,PH89570354,AST59385873,Life,845989.33,3426.66,12918.91,2020-06-08,2021-10-22,Active,UW-Team
POL13536508,P58447238,PH77849419,AST88432384,Life,462836.84,9235.5,4784.61,2025-05-26,2024-03-24,Closed,UW-Team
POL76558504,P45033238,PH84015355,AST95386243,Home,673844.64,6843.82,9362.52,2018-08-22,2024-07-05,Pending,UW-Team
POL63891038,P33395188,PH07898892,AST87174077,Commercial,669692.71,1121.29,8548.62,2022-09-22,2023-02-06,Closed,UW-Team
POL30849039,P12575803,PH98270477,AST84253254,Life,514681.02,5615.83,4586.04,2024-06-05,2020-01-21,Pending,UW-Team
POL61515992,P93045524,PH31384078,AST56879072,Commercial,702927.83,2129.54,11260.94,2022-03-22,2020-12-08,Closed,UW-Team
POL24583004,P82918944,PH01499422,AST59999388,Life,466245.82,2000.84,8632.79,2025-05-11,2024-07-19,Cancelled,UW-Team
POL39290224,P65455237,PH69322754,AST01256543,Commercial,779979.5,3005.77,9682.68,2022-04-26,2025-06-23,Pending,UW-Team
POL62846462,P23036941,PH21307648,AST37136995,Life,760205.7,4116.61,12071.67,2021-02-09,2020-06-25,Active,UW-Team
POL50114068,P04162583,PH98634017,AST57165106,Home,661569.39,8688.76,4357.5,2025-07-04,2023-09-10,Pending,UW-Team
POL73643585,P29910483,PH14703157,AST87089397,Commercial,522969.16,4395.38,4560.16,2018-04-16,2024-11-19,Active,UW-Team
POL45947925,P63145535,PH57777281,AST86068489,Auto,992086.54,4854.49,13171.68,2023-04-18,2021-12-23,Cancelled,UW-Team
POL87606301,P32481293,PH53611537,AST13760818,Home,431726.17,5774.34,6280.6,2018-02-28,2023-10-01,Cancelled,UW-Team
POL51472085,P45343587,PH97478751,AST57528371,Home,94211.96,4625.91,5315.55,2020-06-10,2019-04-02,Pending,UW-Team
POL14758352,P61804564,PH31846331,AST10829244,Life,757615.92,3003.52,13567.6,2023-06-19,2022-05-25,Pending,UW-Team
POL42771787,P01359152,PH99762098,AST86118766,Auto,532130.89,9450.75,1737.62,2021-06-04,2025-07-04,Closed,UW-Team
POL59026630,P40937949,PH60253925,AST97014088,Auto,717518.36,5415.86,13748.25,2025-12-22,2024-01-29,Pending,UW-Team
POL82642326,P19473471,PH09175991,AST59164084,Commercial,816859.73,8944.83,5945.88,2025-04-19,2022-09-05,Closed,UW-Team
POL76519846,P19019160,PH86446688,AST58203444,Life,260186.9,2800.82,2784.68,2019-02-19,2019-08-13,Cancelled,UW-Team
POL42959364,P30580569,PH02887734,AST03984685,Auto,856738.44,4480.91,3360.32,2024-11-29,2024-03-17,Closed,UW-Team
POL45200609,P12404786,PH50271414,AST31961506,Commercial,726953.29,6512.33,6481.95,2025-01-25,2020-06-14,Closed,UW-Team
POL56742228,P65207550,PH92938407,AST25710420,Home,374075.18,9681.71,4594.32,2018-05-08,2022-03-10,Cancelled,UW-Team
POL81424179,P09615261,PH12617776,AST57507562,Home,279198.16,3237.8,14636.03,2024-06-24,2020-10-24,Closed,UW-Team
POL73984789,P23244235,PH36957858,AST41961759,Home,188343.18,8342.16,13969.33,2025-08-30,2020-08-30,Pending,UW-Team
POL74963527,P55086025,PH59721133,AST82416671,Life,903491.65,1725.05,3387.19,2019-05-23,2019-07-27,Pending,UW-Team
POL46965296,P58366638,PH60335119,AST20139419,Auto,727524.55,1892.56,10684.1,2023-04-01,2023-10-07,Cancelled,UW-Team
POL74072323,P90893489,PH47352821,AST35877405,Commercial,858864.84,9808.06,8670.88,2021-07-05,2022-12-29,Cancelled,UW-Team
POL82103704,P05975045,PH23821737,AST09732344,Auto,862078.01,3860.54,2811.3,2025-02-28,2019-04-15,Pending,UW-Team
POL85296870,P82132304,PH18510067,AST64440163,Life,917338.26,7206.16,12375.62,2024-11-27,2021-03-26,Closed,UW-Team
POL77697609,P83667188,PH29273448,AST70139632,Auto,492459.3,8749.39,704.17,2023-02-25,2018-02-13,Pending,UW-Team
POL02908090,P20082229,PH57693033,AST63100849,Home,943896.84,7373.12,4827.97,2022-05-30,2020-12-16,Cancelled,UW-Team
POL48724866,P22223211,PH31089576,AST22408971,Life,975334.53,2928.42,11576.19,2025-01-23,2021-12-29,Pending,UW-Team
POL39566595,P31548363,PH67989486,AST10975256,Home,810553.78,8686.86,13355.49,2023-10-08,2021-01-13,Pending,UW-Team
POL67556354,P69705677,PH60886190,AST81997207,Life,212969.38,5961.91,8372.0,2019-12-15,2025-08-11,Active,UW-Team
POL09607373,P28370365,PH76023623,AST31521142,Auto,958554.42,6801.57,12964.46,2021-10-26,2019-09-21,Cancelled,UW-Team
POL35062394,P84890431,PH37009478,AST22938603,Auto,269869.25,5170.42,13473.24,2019-10-14,2018-02-20,Closed,UW-Team
POL69117178,P65379653,PH14668213,AST79131144,Home,150877.76,6067.57,9014.25,2020-05-29,2023-10-22,Cancelled,UW-Team
POL77757595,P73057217,PH52876462,AST09349552,Life,809738.86,1752.71,13252.48,2025-10-18,2024-08-01,Cancelled,UW-Team
POL35011172,P68070040,PH02257008,AST42415301,Home,862478.03,5568.94,8935.38,2022-02-26,2021-11-17,Active,UW-Team
POL23667730,P68883347,PH44232235,AST77729797,Auto,698988.09,9639.34,2831.68,2021-12-23,2018-06-05,Closed,UW-Team
POL46203654,P20045897,PH14225611,AST21075441,Auto,300002.82,850.03,7841.21,2022-03-18,2025-04-04,Cancelled,UW-Team
POL88529853,P44647131,PH09500008,AST70633610,Commercial,87932.97,3729.22,6623.46,2018-06-22,2018-11-22,Pending,UW-Team
POL73142019,P71087860,PH69012907,AST21458773,Auto,773641.44,8098.29,4457.24,2023-03-07,2018-12-10,Active,UW-Team
POL39330328,P43370495,PH11591327,AST24555097,Commercial,810115.63,9242.27,12955.88,2018-03-15,2018-05-03,Active,UW-Team
POL12714839,P59954413,PH01458854,AST60926509,Auto,292283.85,1162.83,14578.36,2020-04-11,2019-04-02,Pending,UW-Team
POL94692000,P19142738,PH95418285,AST49541646,Commercial,747936.24,3959.8,4992.45,2025-07-09,2019-02-20,Cancelled,UW-Team
POL82040969,P02174366,PH79252277,AST51040902,Home,183222.84,4489.03,5668.82,2023-11-22,2024-09-16,Closed,UW-Team
POL84253322,P99056323,PH38974340,AST95762664,Auto,81218.76,7039.38,14099.75,2018-04-11,2021-09-21,Pending,UW-Team
POL31909765,P15231297,PH92384823,AST44501182,Auto,262408.99,1793.11,8939.63,2018-05-14,2024-05-24,Closed,UW-Team
POL44141329,P17874907,PH74996599,AST34763911,Home,848775.66,7342.55,14706.62,2019-08-06,2018-10-05,Active,UW-Team
POL57864577,P26848048,PH92361757,AST70380582,Life,990339.99,6009.57,9733.71,2020-07-14,2022-04-15,Cancelled,UW-Team
POL65886743,P56858888,PH44566959,AST45550080,Commercial,971225.78,2195.52,9863.62,2022-09-10,2025-04-26,Active,UW-Team
POL30548628,P48920453,PH33020556,AST56970045,Life,234707.34,9343.56,9219.33,2021-09-13,2022-04-27,Closed,UW-Team
POL66178498,P27447694,PH82290362,AST35572588,Commercial,389182.62,2533.47,10054.88,2023-05-08,2023-09-03,Pending,UW-Team
POL89421766,P10198491,PH93454523,AST90669645,Commercial,82938.78,2185.24,6868.29,2021-12-25,2021-06-25,Closed,UW-Team
POL81954205,P91988838,PH66031137,AST56573369,Life,161147.76,9360.27,10155.46,2025-10-10,2023-07-08,Cancelled,UW-Team
POL60778465,P32385293,PH35350385,AST69175212,Auto,388994.22,6687.7,11845.01,2022-08-02,2021-01-12,Closed,UW-Team
POL89271675,P38649299,PH31089576,AST87504649,Home,236912.9,8267.91,9469.44,2025-11-29,2019-03-15,Closed,UW-Team
POL32754326,P94597224,PH79560179,AST04617218,Life,672091.66,6818.42,4378.25,2018-01-24,2021-05-07,Active,UW-Team
POL18924811,P72510688,PH34620427,AST80444474,Auto,789704.21,2014.21,7967.06,2025-04-01,2020-05-12,Closed,UW-Team
POL44362916,P22688235,PH36031657,AST85544274,Commercial,249088.05,1705.61,4125.98,2024-05-22,2024-04-20,Active,UW-Team
POL49691382,P39636214,PH03403640,AST30890274,Commercial,861475.17,1965.11,3157.9,2020-05-26,2021-08-26,Cancelled,UW-Team
POL09400328,P49064686,PH56516394,AST98255590,Home,350989.36,5080.02,8840.51,2019-10-21,2021-07-18,Pending,UW-Team
POL09758924,P62034818,PH84579264,AST98285550,Auto,76427.85,1681.41,6504.03,2021-12-29,2021-01-04,Closed,UW-Team
POL66709871,P30334736,PH91054759,AST25371366,Home,736138.96,6650.31,14820.04,2022-06-10,2022-01-31,Active,UW-Team
POL29407469,P23726865,PH40492910,AST63419313,Commercial,954537.12,7840.87,5130.48,2021-11-25,2021-01-05,Pending,UW-Team
POL18224086,P90053769,PH85993443,AST28279691,Life,375573.22,4036.18,2057.82,2025-08-19,2024-10-02,Closed,UW-Team
POL52187944,P73866301,PH92355073,AST63613329,Home,905331.3,7978.65,2163.05,2022-03-24,2018-02-09,Closed,UW-Team
POL89891246,P85892754,PH95371575,AST14965736,Life,120821.49,9377.39,1739.67,2022-09-27,2020-01-01,Active,UW-Team
POL59058606,P08861036,PH86229110,AST73502277,Life,726384.29,7076.78,9399.56,2025-02-01,2019-01-14,Closed,UW-Team
POL84889986,P49256945,PH63564612,AST36643742,Commercial,562859.49,3813.95,12585.04,2024-08-09,2019-01-23,Pending,UW-Team
POL87833844,P81667532,PH06362441,AST20875862,Life,481255.97,2940.21,5434.75,2024-04-05,2018-12-10,Active,UW-Team
POL95120228,P95248253,PH87684530,AST79111006,Home,136788.55,5158.68,2927.08,2025-03-18,2025-01-01,Closed,UW-Team
POL44237430,P93049687,PH42926247,AST23871296,Auto,547363.2,9078.5,7186.05,2019-07-19,2021-09-27,Active,UW-Team
