claim_id,claim_number,policy_id,policyholder_id,asset_id,adjuster_id,office_id,claim_type,description,incident_date,filed_date,status,estimated_loss,approved_amount,priority,incident_latitude,incident_longitude
CLM69361224,C02286270,POL57762100,PH41284192,AST94936000,ADJ35754668,OFF51179857,Collision,Claim event,2019-08-29,2021-11-12,Cancelled,164333.43,49477.74,High,26.343281,-95.859159
CLM82531891,C00391358,POL83392832,PH81734992,AST55258824,ADJ89735113,OFF19114348,Theft,Claim event,2021-10-27,2020-04-25,Active,104860.9,90013.52,High,44.18845,-77.274019
CLM51981037,C11827368,POL69747545,PH24334762,AST78926486,ADJ46350506,OFF77816881,Collision,Claim event,2019-08-16,2020-05-21,Closed,51562.59,45552.73,Medium,43.214906,-79.885023
CLM18934120,C98625021,POL65920158,PH01023455,AST92954095,ADJ06802834,OFF29042860,Theft,Claim event,2025-12-27,2025-05-04,Closed,82154.85,86442.8,Medium,39.655269,-121.643051
CLM56153697,C55293561,POL54386644,PH07922595,AST30276255,ADJ56931969,OFF47772473,Flood,Claim event,2024-09-08,2018-08-14,Active,4123.31,80971.85,High,35.620515,-81.837615
CLM29119950,C27460291,POL33594588,PH92174131,AST77489954,ADJ75801982,OFF54008383,Fire,Claim event,2023-11-18,2020-07-21,Pending,125389.29,60185.83,Low,40.631656,-82.45544
CLM20429355,C59809377,POL81143204,PH47776579,AST29166464,ADJ36937705,OFF18128774,Collision,Claim event,2021-08-04,2018-05-06,Pending,173475.05,46324.14,Low,47.227825,-67.094135
CLM00623061,C11712802,POL98286907,PH23602642,AST02295125,ADJ47560419,OFF20213948,Flood,Claim event,2020-04-09,2022-04-03,Closed,100024.32,35782.43,Low,41.597322,-104.885889
CLM13730947,C75145858,POL34358604,PH50479357,AST40625251,ADJ87860831,OFF62924274,Collision,Claim event,2022-04-08,2022-07-16,Pending,12466.24,131607.03,Medium,33.876117,-80.429646
CLM84756548,C10904515,POL40693707,PH40806822,AST90006756,ADJ73508663,OFF51294970,Liability,Claim event,2024-02-02,2025-04-30,Active,12886.86,57888.54,Medium,35.764083,-90.666833
CLM05999002,C44467272,POL50341292,PH92291759,AST82521115,ADJ24255471,OFF13974243,Theft,Claim event,2020-11-07,2024-08-25,Cancelled,81299.36,38293.13,Medium,47.94995,-104.139491
CLM99068588,C48120946,POL23096470,PH24108203,AST33827795,ADJ76014220,OFF93546182,Liability,Claim event,2025-08-01,2020-05-30,Cancelled,132936.89,68275.59,High,30.433664,-113.454733
CLM93062495,C38126574,POL90414203,PH41895841,AST46676462,ADJ16009947,OFF99949223,Fire,Claim event,2023-10-16,2020-10-29,Closed,160852.85,128700.9,High,41.701829,-87.446547
CLM15580435,C14355331,POL58095201,PH64284165,AST42943573,ADJ18813118,OFF33015120,Fire,Claim event,2022-09-29,2019-10-02,Active,84275.66,100606.51,Medium,34.933098,-93.053878
CLM47698205,C62503915,POL43729261,PH96992352,AST03623927,ADJ35588355,OFF59946617,Fire,Claim event,2018-07-28,2019-07-15,Pending,2729.2,9900.11,High,25.202391,-118.246692
CLM15030560,C08285260,POL93575017,PH37402319,AST84891911,ADJ42346348,OFF67936883,Collision,Claim event,2025-04-19,2023-11-13,Closed,148798.72,27144.04,High,27.944175,-122.985819
CLM39139699,C43854477,POL50213019,PH66910519,AST92180848,ADJ16367372,OFF54069724,Theft,Claim event,2018-05-17,2018-04-12,Cancelled,70199.44,112652.43,Low,28.301194,-110.931677
CLM47669513,C09110463,POL42558360,PH49462261,AST07232846,ADJ51215847,OFF32017713,Collision,Claim event,2021-07-25,2018-03-10,Closed,11821.79,21080.94,Low,29.356836,-90.178465
CLM91014491,C59294376,POL33014535,PH97264690,AST37945029,ADJ65385329,OFF44118084,Flood,Claim event,2019-10-12,2020-12-10,Pending,27463.67,73418.97,High,38.075774,-81.946867
CLM46367166,C04391624,POL72805915,PH82973769,AST06427322,ADJ14446746,OFF38581665,Liability,Claim event,2022-03-17,2020-09-30,Active,60468.93,54896.02,Low,35.456221,-89.516901
CLM60155435,C97230718,POL74437782,PH98446906,AST39742863,ADJ45929417,OFF79925614,Collision,Claim event,2019-08-22,2022-07-31,Cancelled,154223.03,60337.46,Medium,33.407447,-68.485893
CLM56713674,C00290528,POL45088726,PH23752701,AST79256210,ADJ07650179,OFF65574888,Fire,Claim event,2025-07-17,2020-12-28,Cancelled,175569.6,65735.3,Low,45.04892,-78.919833
CLM45898810,C96009883,POL63680079,PH67787194,AST79401834,ADJ15033693,OFF36470893,Collision,Claim event,2019-10-21,2025-08-12,Cancelled,158727.76,111866.4,Medium,42.472002,-115.864088
CLM00410817,C87857096,POL06573764,PH16684811,AST98909916,ADJ92906001,OFF83101658,Liability,Claim event,2025-05-18,2022-03-31,Cancelled,71227.96,63226.33,Medium,34.506715,-114.666571
CLM75543167,C24065673,POL72395959,PH09834323,AST39033174,ADJ79660190,OFF43940400,Collision,Claim event,2018-05-31,2021-09-16,Pending,183605.31,70413.0,Medium,42.339173,-95.428822
CLM60861519,C75266378,POL83889214,PH98074774,AST55638047,ADJ63112344,OFF75353278,Liability,Claim event,2020-09-12,2025-02-01,Pending,121875.37,36220.69,High,38.430547,-67.141584
CLM99590405,C53469804,POL45088726,PH62556568,AST55521657,ADJ39855447,OFF67086731,Theft,Claim event,2018-10-27,2025-05-20,Cancelled,112221.77,41149.9,High,26.110181,-122.400611
CLM68083519,C18825527,POL93957333,PH39222980,AST18430888,ADJ07468727,OFF13991549,Flood,Claim event,2024-03-31,2025-09-07,Pending,122686.86,138306.29,Low,46.537387,-109.050022
CLM96658682,C05023005,POL06283513,PH69447629,AST95887880,ADJ36924755,OFF63286923,Collision,Claim event,2025-08-27,2019-12-03,Closed,92715.17,40962.5,Medium,27.052892,-78.626808
CLM35980639,C15645406,POL10709374,PH39312272,AST98355900,ADJ40278273,OFF17943789,Liability,Claim event,2018-01-08,2020-05-24,Active,188889.17,121149.15,High,39.696658,-99.212949
CLM11550495,C01399663,POL61017644,PH85425640,AST47086354,ADJ50814612,OFF15073123,Liability,Claim event,2024-09-08,2023-02-03,Pending,194881.51,89330.18,High,27.126178,-97.4857
CLM91077141,C27188438,POL25340105,PH09050208,AST82550633,ADJ49493797,OFF33671482,Collision,Claim event,2020-08-02,2023-11-08,Cancelled,178864.57,13358.23,Low,39.024344,-104.003593
CLM08752940,C32854994,POL41748474,PH53934825,AST24189435,ADJ77502662,OFF81441890,Flood,Claim event,2020-05-13,2018-08-25,Cancelled,92257.55,81503.12,Medium,46.062033,-123.99949
CLM97508573,C53740632,POL02519798,PH38228379,AST83494877,ADJ02032116,OFF67605701,Fire,Claim event,2018-06-25,2021-02-10,Cancelled,36857.72,34311.69,High,27.586141,-106.717614
CLM48907169,C45302425,POL34781535,PH02237968,AST47580910,ADJ21702692,OFF07127852,Theft,Claim event,2023-11-19,2024-11-28,Closed,129345.63,57431.95,Medium,47.882089,-81.914337
CLM20757320,C98157928,POL19458282,PH64131917,AST10944069,ADJ15975807,OFF83076689,Collision,Claim event,2024-09-25,2024-12-02,Closed,149993.15,128413.37,High,41.133059,-86.763876
CLM83879864,C55954716,POL41003884,PH54172833,AST99347929,ADJ52102180,OFF37708221,Flood,Claim event,2023-04-16,2020-08-24,Pending,148644.53,33335.2,High,30.524136,-103.532209
CLM59791027,C65922354,POL89035801,PH83869185,AST50606331,ADJ88745498,OFF82447399,Flood,Claim event,2023-06-26,2018-09-10,Active,133660.4,94862.89,High,31.667123,-115.595068
CLM49829275,C01109377,POL85165956,PH42533269,AST59416112,ADJ00015437,OFF27279776,Fire,Claim event,2021-01-10,2021-10-26,Pending,187935.97,24396.12,Medium,36.258665,-82.4895
CLM68273318,C36986195,POL84590383,PH26754202,AST96848872,ADJ42439149,OFF54625985,Liability,Claim event,2023-06-16,2021-08-17,Active,37506.6,112603.76,Low,28.700996,-103.898026
CLM28408971,C63587677,POL81609998,PH82698211,AST53783683,ADJ60304234,OFF70196284,Theft,Claim event,2025-10-22,2025-07-19,Pending,88306.3,36932.17,Medium,29.886755,-82.098138
CLM62338320,C52496965,POL85970319,PH57998054,AST60319071,ADJ42715315,OFF27956153,Flood,Claim event,2021-07-19,2018-03-07,Cancelled,114991.1,40784.66,Low,30.738529,-101.10471
CLM32612893,C47109378,POL14099565,PH29400695,AST94658138,ADJ14263914,OFF82639952,Theft,Claim event,2025-11-23,2022-06-03,Active,187308.05,144939.26,Low,26.770886,-85.752087
CLM57490079,C11449002,POL62560059,PH65148581,AST70731107,ADJ47452716,OFF41923156,Fire,Claim event,2025-05-26,2020-01-07,Cancelled,116593.42,62123.26,High,43.640815,-79.328356
CLM79745614,C56942189,POL67137556,PH91911905,AST39619094,ADJ01504396,OFF02547711,Liability,Claim event,2021-03-04,2023-05-04,Pending,39218.42,10039.18,Low,35.758807,-119.736056
CLM37517817,C57822164,POL02940131,PH72031271,AST02305272,ADJ20177288,OFF72419608,Flood,Claim event,2021-05-22,2022-08-19,Cancelled,188657.25,116990.79,Medium,43.149642,-90.404447
CLM79013904,C48584918,POL25628580,PH23930846,AST98209496,ADJ32771689,OFF01970522,Fire,Claim event,2019-10-03,2023-04-12,Cancelled,63054.22,77398.75,Medium,26.000279,-68.82526
CLM11971544,C86380684,POL19051920,PH75512653,AST43620871,ADJ25275597,OFF98865195,Fire,Claim event,2025-01-15,2024-12-22,Cancelled,115579.69,112037.57,Medium,34.424354,-87.935464
CLM26372763,C96875643,POL51720994,PH02897699,AST22383034,ADJ73210953,OFF78170888,Theft,Claim event,2023-11-28,2022-03-20,Closed,75627.31,65452.25,Medium,25.454561,-81.405483
CLM08866801,C65224935,POL60755871,PH02754072,AST24070920,ADJ92660723,OFF21300320,Theft,Claim event,2025-12-30,2024-11-06,Closed,44647.04,123913.82,High,44.256228,-97.681804
CLM30442742,C12038974,POL10474669,PH22151191,AST53424305,ADJ72010720,OFF89941713,Theft,Claim event,2019-07-21,2019-02-04,Active,135189.41,76819.59,Medium,31.110539,-86.568396
CLM79444218,C21975255,POL74382474,PH24450878,AST25238245,ADJ45326863,OFF49586884,Liability,Claim event,2022-09-19,2020-10-29,Pending,110861.72,70414.77,Low,32.189603,-104.265117
CLM68409273,C33665013,POL57309696,PH14705171,AST97219566,ADJ83744696,OFF44213984,Theft,Claim event,2025-09-23,2018-08-23,Cancelled,82916.39,66954.99,Low,46.926989,-86.695015
CLM29893059,C24564334,POL47380118,PH61726252,AST45380076,ADJ95396556,OFF94979594,Theft,Claim event,2022-07-30,2022-06-06,Pending,67305.46,65203.86,High,29.724674,-99.200402
CLM75372602,C03695922,POL53744727,PH21695107,AST78849069,ADJ25806777,OFF76622702,Liability,Claim event,2020-10-09,2025-06-23,Cancelled,70057.09,131341.95,High,37.636043,-103.68831
CLM27959445,C91725796,POL03151085,PH57755696,AST06988690,ADJ89738381,OFF47345392,Liability,Claim event,2025-12-12,2019-01-02,Cancelled,5898.05,15237.18,High,35.671305,-70.873692
CLM02089052,C74782544,POL62954452,PH44957519,AST46282890,ADJ26353802,OFF24062710,Fire,Claim event,2024-08-12,2023-11-14,Pending,64282.41,17055.89,Low,28.969756,-99.370253
CLM08817774,C06799716,POL97979961,PH95717718,AST08371978,ADJ06498815,OFF30458359,Theft,Claim event,2023-10-11,2018-02-22,Closed,81948.23,69552.96,Medium,29.616749,-111.343062
CLM38928266,C38503286,POL51077425,PH02217975,AST05312577,ADJ48494239,OFF07880068,Collision,Claim event,2018-04-09,2021-02-06,Closed,93461.83,33922.4,High,26.658569,-86.384068
CLM45125810,C73956152,POL30469893,PH31309199,AST51131600,ADJ11388081,OFF12058984,Collision,Claim event,2023-01-12,2019-10-26,Pending,34634.47,110540.96,High,43.897349,-92.831369
CLM08965808,C03268139,POL61364510,PH26074404,AST58072973,ADJ61258805,OFF48979057,Flood,Claim event,2022-10-24,2020-12-17,Active,15838.73,38531.61,Medium,41.581381,-93.530943
CLM46728950,C89717667,POL13013615,PH42377081,AST49118466,ADJ56853755,OFF23003034,Flood,Claim event,2025-01-14,2020-03-19,Pending,175601.22,46014.22,Low,40.222554,-78.753036
CLM67477989,C00257790,POL34358604,PH55935800,AST02022314,ADJ48168739,OFF32537126,Flood,Claim event,2022-08-10,2018-01-01,Cancelled,142901.15,102339.79,High,36.795621,-107.216422
CLM90562269,C32984957,POL59403382,PH18620920,AST32938751,ADJ79295409,OFF78556021,Liability,Claim event,2020-08-31,2024-10-21,Active,84218.37,69239.14,Medium,40.978491,-95.750942
CLM43298279,C88543305,POL76078634,PH76548073,AST50076452,ADJ85582344,OFF45120548,Fire,Claim event,2023-10-16,2025-07-23,Cancelled,97825.3,98843.32,Low,39.851772,-102.095283
CLM08984233,C15137331,POL72912475,PH33415173,AST48163461,ADJ40044554,OFF01554804,Theft,Claim event,2020-12-17,2024-12-26,Active,99822.64,5986.2,High,44.646259,-122.594079
CLM25619895,C42057031,POL46839457,PH31552640,AST69278782,ADJ63252343,OFF75261778,Collision,Claim event,2025-09-29,2018-06-15,Active,60126.78,26976.55,Low,47.260151,-111.107658
CLM77330086,C14497241,POL44604283,PH52957747,AST13062270,ADJ53390119,OFF46497353,Flood,Claim event,2020-07-22,2020-02-22,Cancelled,90499.45,73289.43,Low,26.061933,-101.681507
CLM16595805,C27924104,POL05414131,PH97778486,AST87922453,ADJ77891314,OFF19699012,Theft,Claim event,2021-08-27,2018-05-24,Closed,129525.13,38280.4,High,37.582382,-93.056598
CLM04950939,C61718491,POL01341883,PH69675030,AST59262798,ADJ83494663,OFF29039804,Flood,Claim event,2023-06-19,2019-11-09,Closed,2941.99,65173.54,High,44.050587,-121.051457
CLM68838879,C45995451,POL41734785,PH38915646,AST39130670,ADJ40285655,OFF00525899,Fire,Claim event,2024-08-23,2018-01-19,Closed,139173.49,99789.42,Medium,46.048293,-110.963609
CLM76021768,C57558752,POL82629580,PH20967390,AST04443742,ADJ63629666,OFF42172731,Liability,Claim event,2019-03-12,2021-09-02,Pending,51671.48,31104.27,High,38.620132,-89.10299
CLM03291025,C08312118,POL47395138,PH05036843,AST03739997,ADJ97616415,OFF78098380,Fire,Claim event,2024-11-05,2021-01-23,Cancelled,161727.37,124076.3,Low,38.788542,-84.106588
CLM78753561,C76338378,POL15264797,PH94019043,AST30145252,ADJ49926982,OFF03197735,Theft,Claim event,2022-11-09,2020-07-25,Pending,99615.49,24662.27,High,26.998493,-67.211968
CLM46214488,C62347695,POL19259012,PH14408019,AST00038069,ADJ31247733,OFF85277304,Flood,Claim event,2022-03-23,2025-01-11,Pending,145244.0,90976.82,Low,46.808418,-92.583394
CLM90016206,C39733771,POL82129706,PH05671200,AST62796494,ADJ84043016,OFF26523216,Liability,Claim event,2024-06-27,2020-12-24,Pending,42729.83,53866.58,Low,44.779903,-108.295487
CLM33211547,C65632105,POL60426352,PH07362512,AST45806492,ADJ23316779,OFF97011196,Theft,Claim event,2025-03-16,2025-05-19,Pending,92213.29,119564.89,Medium,27.433318,-83.003732
CLM68477772,C97047561,POL29972874,PH77436800,AST76067130,ADJ71319268,OFF15998589,Fire,Claim event,2019-03-09,2019-01-23,Cancelled,11884.94,137641.98,Medium,42.770381,-101.302419
CLM74193721,C49376884,POL38574724,PH20953734,AST66117510,ADJ80202951,OFF57365146,Theft,Claim event,2020-03-31,2019-01-24,Cancelled,195352.38,96265.89,Medium,36.04791,-121.244666
CLM98272970,C17730649,POL58597343,PH99185938,AST11382808,ADJ68543963,OFF56347542,Flood,Claim event,2018-11-20,2025-01-03,Active,16835.59,76758.05,Low,31.104165,-120.744629
CLM57893642,C95875523,POL53138396,PH21895069,AST09995240,ADJ37917701,OFF27101242,Liability,Claim event,2024-06-19,2021-07-12,Active,188094.95,79405.35,High,37.665867,-84.303957
CLM19790643,C33848709,POL40691645,PH10995242,AST16489554,ADJ53332887,OFF48224165,Liability,Claim event,2018-01-03,2024-03-17,Pending,97361.9,106372.12,High,42.948605,-95.767683
CLM34007600,C57126809,POL04588215,PH49994559,AST03337332,ADJ45303796,OFF12231594,Flood,Claim event,2020-03-22,2020-03-01,Closed,44601.13,136673.42,High,43.81217,-101.599809
CLM75416767,C39807598,POL94860334,PH82803933,AST97313809,ADJ79211338,OFF19779432,Theft,Claim event,2024-07-13,2023-07-26,Cancelled,34176.48,50287.04,Low,42.082102,-95.252825
CLM00204563,C75024043,POL94733774,PH52108463,AST32054412,ADJ59917145,OFF89269769,Flood,Claim event,2025-08-25,2020-08-02,Pending,84670.54,37190.28,High,45.306474,-101.748094
CLM43972042,C20542494,POL85089742,PH33511870,AST37273440,ADJ69436770,OFF78794512,Flood,Claim event,2024-12-06,2024-09-08,Cancelled,74013.43,21724.42,Medium,40.326603,-108.758317
CLM35875316,C88171920,POL25597142,PH94869130,AST88838601,ADJ34412131,OFF15590533,Flood,Claim event,2022-07-15,2020-05-28,Cancelled,3322.28,111174.28,Low,35.382978,-71.492801
CLM32545757,C42027222,POL17323389,PH09113839,AST26753451,ADJ57766698,OFF13170002,Flood,Claim event,2022-05-24,2020-11-03,Active,110060.92,121913.77,Medium,38.94614,-85.013543
CLM92380811,C11429115,POL51124529,PH03389612,AST47318294,ADJ52964273,OFF45666038,Theft,Claim event,2019-11-29,2023-12-14,Pending,7724.51,99914.04,Medium,26.513441,-78.802158
CLM11912677,C99516135,POL99835635,PH26047656,AST35877405,ADJ14961887,OFF43742433,Fire,Claim event,2020-08-12,2025-01-22,Pending,154283.37,77410.29,Medium,45.533481,-86.569782
CLM69582108,C10988003,POL48097798,PH78307075,AST94560159,ADJ62209404,OFF55797965,Fire,Claim event,2021-01-28,2022-08-07,Pending,10337.02,35048.48,High,28.084374,-99.261867
CLM54965046,C06323177,POL49414913,PH63438711,AST37644568,ADJ70862945,OFF75507767,Liability,Claim event,2024-06-30,2024-07-05,Pending,93015.62,49233.52,High,32.651252,-109.965687
CLM93640438,C90184396,POL74483046,PH70137716,AST54398081,ADJ53330707,OFF82945490,Flood,Claim event,2022-06-15,2020-07-27,Closed,194557.89,104759.07,High,32.344363,-109.561654
CLM77955151,C43333442,POL70811356,PH85425640,AST11901948,ADJ19080206,OFF41785576,Collision,Claim event,2022-12-02,2020-07-01,Closed,177830.68,79096.68,High,37.666706,-113.336523
CLM72149646,C23766505,POL26974075,PH59317874,AST99855479,ADJ23892313,OFF85712136,Theft,Claim event,2021-01-08,2019-01-19,Cancelled,32633.9,818.66,Medium,45.060108,-67.744468
CLM76638368,C47550805,POL70927287,PH11722222,AST70730815,ADJ70997680,OFF56794132,Fire,Claim event,2020-01-23,2019-10-21,Active,183638.35,52776.42,Medium,35.280974,-118.232302
CLM73471225,C28883359,POL20427020,PH29608758,AST41527768,ADJ97250781,OFF10210066,Flood,Claim event,2018-06-26,2018-12-14,Closed,37950.68,137457.68,Medium,35.436254,-81.43163
CLM11588811,C98332191,POL07423244,PH63801785,AST29762795,ADJ89605640,OFF90172753,Collision,Claim event,2022-05-27,2018-08-24,Cancelled,54011.43,68065.58,Medium,47.338544,-83.962041
CLM51066109,C22928392,POL16961590,PH36813726,AST84697821,ADJ45721238,OFF45720830,Liability,Claim event,2025-09-17,2023-04-25,Pending,107199.95,145883.02,Medium,42.937945,-97.801013
CLM14248534,C47658097,POL35928473,PH21520977,AST85608095,ADJ90913006,OFF25931719,Theft,Claim event,2024-03-07,2021-03-20,Pending,180261.17,136717.83,Low,34.580657,-100.102887
CLM71267460,C33072733,POL47003438,PH26038025,AST72641751,ADJ98437844,OFF54885605,Flood,Claim event,2020-10-05,2023-09-18,Pending,107893.42,76694.85,Low,41.902564,-85.940996
CLM71530797,C82001261,POL44417672,PH82549642,AST01984873,ADJ11352033,OFF53143582,Collision,Claim event,2024-11-15,2023-03-04,Cancelled,26876.99,34165.67,Medium,40.892873,-93.35877
CLM77350531,C95956837,POL20360950,PH65800967,AST52879063,ADJ58507131,OFF56625870,Flood,Claim event,2019-07-18,2022-04-20,Active,66935.82,17766.05,Medium,28.20608,-80.874439
CLM52223770,C60813905,POL89344084,PH28285408,AST05573073,ADJ53892796,OFF17701082,Collision,Claim event,2020-08-23,2023-04-19,Cancelled,174464.34,85777.11,High,31.218683,-81.886347
CLM87965975,C17496529,POL06958099,PH23180457,AST15604332,ADJ59368326,OFF78309140,Flood,Claim event,2018-02-24,2022-07-25,Closed,96747.55,4256.15,Low,47.960715,-114.363912
CLM21414105,C33814566,POL39491848,PH91766758,AST75411350,ADJ39763901,OFF14790085,Theft,Claim event,2024-08-14,2022-10-07,Cancelled,161968.17,79930.33,Low,25.709544,-76.846629
CLM64786036,C64370307,POL11168696,PH74775321,AST08687652,ADJ81949076,OFF51098638,Collision,Claim event,2021-10-27,2025-03-08,Active,22590.79,5984.42,Low,38.1487,-111.16405
CLM77394451,C11831037,POL25276395,PH06363359,AST02253121,ADJ81588468,OFF66273149,Liability,Claim event,2021-09-10,2019-06-15,Active,52211.0,37283.96,Low,46.870582,-110.700411
CLM94138168,C84585083,POL70369295,PH74955375,AST25221713,ADJ29760618,OFF61044752,Liability,Claim event,2025-09-04,2020-11-03,Cancelled,61266.57,29013.22,Low,47.440198,-92.266814
CLM94940048,C42350026,POL73443663,PH45534080,AST28427455,ADJ66528736,OFF40529044,Liability,Claim event,2023-11-26,2023-11-06,Closed,184028.64,20208.43,Medium,46.747752,-72.535601
CLM50754073,C33313277,POL44401369,PH27999330,AST38838399,ADJ73333863,OFF56186669,Liability,Claim event,2025-03-01,2021-08-09,Closed,128674.89,31810.2,Medium,29.558306,-78.119217
CLM72735928,C25267330,POL58495503,PH47301851,AST29109631,ADJ77986091,OFF18556946,Fire,Claim event,2022-01-14,2020-04-27,Pending,187743.05,72857.75,High,28.559765,-119.815587
CLM79392829,C41682172,POL07613152,PH04842926,AST92570319,ADJ61668496,OFF78215087,Collision,Claim event,2022-02-07,2025-11-14,Closed,86571.88,133851.88,Low,41.958051,-67.369537
CLM98550874,C11344631,POL88796818,PH08849572,AST67502107,ADJ91507511,OFF48061605,Theft,Claim event,2018-11-10,2022-05-08,Closed,162189.69,9842.04,Medium,39.697159,-111.157829
CLM68860345,C57585678,POL30035033,PH95654292,AST45037284,ADJ13735624,OFF61194082,Fire,Claim event,2018-07-12,2019-04-21,Cancelled,199476.99,103625.69,Medium,35.130986,-118.613545
CLM22282769,C49150170,POL42647136,PH25877953,AST51091838,ADJ49405916,OFF87011664,Flood,Claim event,2022-06-18,2019-07-05,Cancelled,35627.84,135121.38,High,31.714965,-75.157184
CLM71465520,C69670789,POL58327891,PH90588259,AST07439724,ADJ08518648,OFF19971624,Liability,Claim event,2022-03-04,2020-07-14,Cancelled,168009.56,94420.51,Medium,39.898657,-77.401058
CLM69311246,C62055721,POL21559389,PH26349675,AST92922494,ADJ05035946,OFF83250172,Collision,Claim event,2023-08-15,2018-08-05,Closed,83366.49,43089.19,Medium,45.202663,-85.138414
CLM08234980,C75605222,POL09497659,PH44128546,AST47742843,ADJ03980663,OFF94526844,Liability,Claim event,2024-08-17,2025-02-26,Cancelled,154089.95,80877.35,Medium,47.506575,-90.963902
CLM07941042,C38249661,POL21561234,PH33240983,AST35680271,ADJ04820686,OFF13080919,Theft,Claim event,2022-11-15,2020-02-10,Closed,164607.85,117913.34,High,38.539097,-107.281781
CLM12482768,C89790649,POL12519686,PH99853258,AST26239745,ADJ43802665,OFF40467685,Fire,Claim event,2025-09-10,2025-10-24,Cancelled,108100.15,124381.96,Low,37.119377,-108.230833
CLM62219880,C28495905,POL24920925,PH03980814,AST42473967,ADJ99823695,OFF27896314,Theft,Claim event,2025-12-23,2020-12-01,Cancelled,36673.88,111812.53,Medium,30.583966,-75.345292
