office_id,name,office_type,address,city,state,zip_code,latitude,longitude,timezone,phone,adjuster_capacity,has_siu_unit
OFF53417468,Office 35,Regional,648 Main St,Boston,NY,78948,30.664491,-87.77881,PST,555-7284,89,True
OFF70702930,Office 36,HQ,195 Main St,Dallas,NY,79564,36.409824,-112.624538,EST,555-5533,10,False
OFF28619157,Office 37,Regional,915 Main St,San Jose,NY,77806,26.913639,-111.093974,CST,555-2250,52,False
OFF35683294,Office 38,Branch,852 Main St,Dallas,IL,79243,37.488143,-108.985806,EST,555-7656,16,True
OFF41543933,Office 39,HQ,298 Main St,Boston,MA,76441,47.935162,-79.758773,PST,555-1061,11,False
OFF27582987,Office 40,Regional,961 Main St,Chicago,FL,76047,31.348893,-102.671979,PST,555-6612,98,False
OFF59396536,Office 41,Regional,787 Main St,Dallas,MA,76334,28.867841,-69.03939,PST,555-8345,121,True
OFF82593540,Office 42,Branch,693 Main St,San Jose,MA,79947,29.220372,-112.157233,CST,555-8239,129,False
OFF56594346,Office 43,Branch,501 Main St,Boston,MA,75236,39.074219,-105.112552,CST,555-7227,103,False
OFF77822905,Office 44,Regional,720 Main St,San Jose,IL,76431,26.761326,-78.289362,EST,555-3909,103,True
OFF27263636,Office 45,Branch,657 Main St,Seattle,FL,76414,46.43729,-117.305468,CST,555-4187,147,True
OFF77082509,Office 46,Branch,615 Main St,Chicago,FL,79158,46.955272,-93.603851,EST,555-9495,130,False
OFF07154199,Office 47,Regional,450 Main St,Seattle,CA,79496,33.617144,-73.296125,EST,555-7235,48,True
OFF26584915,Office 48,Regional,234 Main St,Chicago,IL,79979,46.98535,-112.918777,CST,555-6813,149,True
OFF82825685,Office 49,Regional,810 Main St,Chicago,WA,77677,30.261518,-76.921357,CST,555-5974,45,True
OFF50567982,Office 50,Regional,943 Main St,San Jose,NY,79328,37.669237,-79.516632,CST,555-2524,40,True
OFF78470854,Office 51,Regional,908 Main St,Chicago,FL,76141,39.042501,-81.101093,PST,555-5364,44,False
OFF75346464,Office 52,HQ,888 Main St,Seattle,TX,76940,27.768191,-121.942301,PST,555-2065,73,False
OFF28660214,Office 53,Regional,164 Main St,San Jose,NY,79943,46.833835,-103.950834,CST,555-9449,114,False
OFF17254464,Office 54,HQ,451 Main St,Boston,CA,79857,44.42159,-108.765117,PST,555-8991,147,True
OFF25362029,Office 55,Branch,123 Main St,Miami,FL,78060,46.41783,-83.683494,PST,555-6262,23,True
OFF07933444,Office 56,Branch,895 Main St,San Jose,CA,75650,35.332249,-115.625905,CST,555-8451,23,True
OFF11924110,Office 57,Regional,621 Main St,Boston,FL,79073,33.802367,-91.726532,PST,555-9216,36,False
OFF17679761,Office 58,Regional,176 Main St,Boston,TX,79427,26.607749,-90.109173,EST,555-3563,143,True
OFF59686060,Office 59,Regional,259 Main St,Seattle,NY,76718,40.145191,-97.732404,EST,555-5509,26,False
OFF39024049,Office 60,Branch,356 Main St,Chicago,MA,77102,46.125913,-102.801158,CST,555-7943,114,False
OFF09240954,Office 61,HQ,943 Main St,Dallas,MA,78619,39.44927,-72.203969,EST,555-8860,22,False
OFF45516924,Office 62,Regional,873 Main St,Miami,FL,79351,47.971375,-100.124433,PST,555-1988,11,True
OFF58285395,Office 63,Branch,125 Main St,Miami,FL,79315,26.541119,-98.30736,PST,555-3616,10,False
OFF64073118,Office 64,Branch,491 Main St,Dallas,FL,79013,32.705871,-114.833906,CST,555-3068,81,True
OFF69413986,Office 65,HQ,484 Main St,Austin,CA,79900,27.556174,-92.61373,PST,555-7286,57,False
OFF56761753,Office 66,HQ,649 Main St,Chicago,WA,76056,35.487666,-75.723463,PST,555-3833,99,True
OFF39940588,Office 67,Regional,508 Main St,Seattle,WA,76557,29.523901,-97.72088,EST,555-4920,110,True
OFF16707316,Office 68,HQ,210 Main St,Miami,NY,78749,32.800676,-87.87964,CST,555-1499,116,False
OFF95375541,Office 69,Regional,684 Main St,San Jose,WA,78963,44.592234,-69.288869,EST,555-6289,110,False
OFF35068717,Office 70,Branch,560 Main St,Boston,FL,76902,35.922392,-73.181445,CST,555-5047,39,False
OFF73947143,Office 71,HQ,162 Main St,San Jose,MA,75634,25.237677,-110.871909,EST,555-3837,122,True
OFF88409107,Office 72,Branch,725 Main St,Miami,IL,76485,43.005009,-72.178088,PST,555-4952,132,False
OFF71538712,Office 73,Branch,929 Main St,Seattle,CA,77918,31.599942,-92.130707,CST,555-8481,56,False
OFF48345173,Office 74,Branch,852 Main St,Boston,TX,76989,29.837745,-86.017214,PST,555-6574,120,True
OFF76406890,Office 75,HQ,417 Main St,San Jose,FL,78098,30.911887,-69.298585,PST,555-9514,51,False
OFF14049417,Office 76,HQ,375 Main St,Dallas,WA,76181,35.327678,-74.259953,PST,555-1041,12,True
OFF40041110,Office 77,Branch,722 Main St,San Jose,NY,77567,32.749284,-92.003028,EST,555-8003,14,True
OFF95863451,Office 78,HQ,870 Main St,Dallas,WA,75687,45.934595,-77.416586,PST,555-4548,93,True
OFF42197134,Office 79,Branch,196 Main St,Boston,IL,79500,40.809826,-118.655792,PST,555-9554,128,False
OFF74344643,Office 80,Branch,207 Main St,Seattle,WA,77145,37.728807,-86.210994,CST,555-1080,35,True
OFF07331972,Office 81,Regional,978 Main St,Austin,TX,76670,42.225511,-89.623188,EST,555-7138,129,True
OFF81911862,Office 82,Regional,352 Main St,Austin,WA,79383,34.450576,-81.26427,CST,555-5630,83,False
OFF31003882,Office 83,HQ,962 Main St,Boston,WA,77062,27.765279,-108.448548,EST,555-4840,145,True
OFF17838910,Office 84,HQ,778 Main St,San Jose,CA,76396,46.539576,-87.897126,CST,555-2224,32,True
OFF68729475,Office 85,Branch,448 Main St,San Jose,MA,76808,45.705568,-115.549689,CST,555-6756,35,True
OFF93589038,Office 86,HQ,976 Main St,Dallas,TX,77314,32.845991,-116.785154,PST,555-9060,84,True
OFF86938566,Office 87,Regional,962 Main St,Dallas,IL,78627,45.711226,-75.284374,EST,555-3818,15,False
OFF26884957,Office 88,HQ,841 Main St,Dallas,CA,75579,30.705788,-85.876775,CST,555-6261,146,True
OFF58251714,Office 89,Regional,794 Main St,Miami,MA,77899,32.082723,-89.996585,PST,555-8884,52,True
OFF90947906,Office 90,Regional,777 Main St,Boston,WA,79799,25.70086,-98.476366,EST,555-3395,60,True
OFF07132250,Office 91,Branch,275 Main St,Austin,FL,75286,41.369892,-121.342473,EST,555-1225,121,False
OFF50810508,Office 92,HQ,618 Main St,Austin,NY,78156,41.674349,-86.524315,CST,555-8735,135,True
OFF82669314,Office 93,HQ,429 Main St,Boston,IL,78332,33.863873,-116.238541,EST,555-2323,40,False
OFF69505994,Office 94,HQ,500 Main St,Seattle,TX,76474,44.541355,-71.279946,EST,555-5519,69,True
OFF26768368,Office 95,Regional,707 Main St,Chicago,FL,77604,38.678146,-106.526877,EST,555-4105,18,True
OFF13660770,Office 96,HQ,496 Main St,San Jose,IL,76732,41.663779,-102.412885,PST,555-5586,116,True
OFF82213803,Office 97,Regional,283 Main St,Chicago,MA,77876,43.897759,-92.32295,PST,555-1855,126,False
OFF46196321,Office 98,HQ,455 Main St,Seattle,NY,75013,30.859346,-117.847963,CST,555-7501,63,False
OFF10065720,Office 99,Branch,505 Main St,Austin,NY,79791,34.448926,-99.768308,EST,555-5360,119,True
OFF88172116,Office 100,HQ,135 Main St,Miami,NY,78504,31.159267,-75.811126,EST,555-4401,35,False
OFF28194898,Office 101,Regional,641 Main St,Austin,MA,78978,28.033718,-76.213781,EST,555-5172,141,True
OFF73988030,Office 102,HQ,372 Main St,Boston,TX,78208,26.478728,-106.723135,EST,555-5830,17,True
OFF16674892,Office 103,HQ,675 Main St,Miami,MA,78005,26.896453,-115.862911,EST,555-1104,103,True
OFF38175137,Office 104,Regional,943 Main St,Dallas,MA,76575,37.273517,-117.725664,EST,555-3985,134,True
OFF46194407,Office 105,HQ,582 Main St,Seattle,NY,77878,28.884273,-120.590162,CST,555-7323,15,True
OFF76687886,Office 106,HQ,247 Main St,Seattle,MA,78551,38.659163,-113.865761,PST,555-3851,24,True
OFF41860605,Office 107,Regional,519 Main St,Boston,CA,76215,26.493121,-111.120603,PST,555-7887,16,False
OFF00026396,Office 108,Regional,374 Main St,Boston,WA,75967,31.220652,-114.988841,CST,555-4484,112,False
OFF66613584,Office 109,HQ,517 Main St,Chicago,CA,79851,33.451587,-72.529148,PST,555-7013,60,True
OFF03061491,Office 110,Regional,604 Main St,Miami,WA,79199,45.385169,-116.20423,PST,555-4694,105,False
OFF90643015,Office 111,HQ,603 Main St,Boston,FL,75389,41.034043,-115.918879,EST,555-2691,114,True
OFF47417110,Office 112,Branch,161 Main St,Boston,NY,79090,30.483665,-118.445035,PST,555-6253,49,False
OFF25424445,Office 113,Branch,732 Main St,Dallas,MA,79982,43.671986,-109.930185,PST,555-9771,102,True
OFF96422364,Office 114,HQ,964 Main St,Chicago,MA,79828,36.11482,-98.973387,PST,555-3631,144,False
OFF76206183,Office 115,Branch,139 Main St,San Jose,MA,77730,35.596712,-99.560571,PST,555-1564,81,True
OFF71573080,Office 116,Branch,263 Main St,Austin,NY,78072,32.933773,-107.518718,EST,555-3824,130,False
OFF92556920,Office 117,HQ,971 Main St,Chicago,TX,77592,25.530602,-96.71488,PST,555-4995,108,False
OFF99149824,Office 118,HQ,817 Main St,Seattle,IL,75571,39.51992,-73.871443,CST,555-9463,146,True
OFF60494042,Office 119,Regional,800 Main St,Miami,CA,79982,46.782641,-110.747392,PST,555-2149,78,False
OFF52946450,Office 120,Regional,332 Main St,Boston,FL,75624,32.884555,-72.333321,EST,555-5488,93,True
OFF47530665,Office 121,Branch,525 Main St,Chicago,IL,75043,33.24363,-88.826776,PST,555-4002,93,False
OFF04383588,Office 122,Regional,619 Main St,Chicago,WA,77079,41.090821,-99.157345,PST,555-8462,89,False
OFF77667305,Office 123,HQ,628 Main St,Dallas,TX,76621,31.851867,-119.510831,CST,555-8595,22,False
OFF18196313,Office 124,Regional,863 Main St,San Jose,WA,77448,32.539763,-80.29098,EST,555-7650,104,False
OFF18105224,Office 125,HQ,381 Main St,Dallas,NY,79717,36.365511,-73.144272,PST,555-6860,138,False
OFF47879367,Office 126,Regional,994 Main St,Miami,NY,77990,30.914078,-93.694798,EST,555-6199,133,True
OFF74561982,Office 127,Regional,961 Main St,Austin,CA,76562,26.247083,-107.694004,CST,555-2243,46,False
OFF10032741,Office 128,HQ,893 Main St,Boston,TX,76528,30.626617,-91.709532,CST,555-7580,46,False
OFF56869837,Office 129,HQ,705 Main St,Dallas,FL,75691,36.753432,-102.875054,EST,555-2938,113,False
OFF83212333,Office 130,Branch,597 Main St,Dallas,CA,77728,30.670894,-73.263828,CST,555-4202,77,True
OFF87822675,Office 131,HQ,870 Main St,Boston,NY,75578,42.487241,-110.298903,CST,555-1575,131,False
OFF58620281,Office 132,Branch,579 Main St,Boston,CA,76091,37.168859,-94.532345,EST,555-3897,69,False
OFF55506605,Office 133,Branch,897 Main St,Austin,IL,76189,35.033522,-87.208383,CST,555-4225,39,False
OFF95206222,Office 134,HQ,851 Main St,Dallas,MA,78116,44.460418,-116.595378,EST,555-3727,88,True
OFF60888169,Office 135,HQ,430 Main St,San Jose,IL,75111,42.271746,-83.54598,PST,555-1887,17,True
OFF69779195,Office 136,HQ,449 Main St,Chicago,FL,75575,26.893754,-123.41315,EST,555-3405,32,False
OFF82928868,Office 137,Branch,296 Main St,Chicago,NY,78418,33.176267,-116.474854,PST,555-6963,113,True
OFF41833863,Office 138,Regional,753 Main St,Seattle,CA,76544,42.806053,-98.357679,EST,555-9051,115,False
OFF76127630,Office 139,Regional,211 Main St,Dallas,NY,79885,37.74226,-67.683547,EST,555-1399,19,False
OFF35422088,Office 140,Branch,441 Main St,Dallas,IL,76695,28.523185,-97.656144,PST,555-9266,11,True
OFF95845654,Office 141,Branch,724 Main St,Miami,WA,79455,28.335998,-118.611971,CST,555-2298,60,False
OFF28020216,Office 142,Branch,390 Main St,Miami,CA,79558,44.934681,-123.762649,CST,555-2993,104,True
OFF30734362,Office 143,HQ,827 Main St,Seattle,IL,76099,43.475008,-104.554379,EST,555-9422,75,False
OFF36587856,Office 144,HQ,296 Main St,Boston,TX,78727,38.171354,-92.063087,CST,555-4976,105,True
OFF62947334,Office 145,Regional,901 Main St,Seattle,WA,78240,42.154988,-82.530906,CST,555-7309,23,False
OFF07756407,Office 146,HQ,668 Main St,Miami,TX,77532,37.941541,-76.546751,CST,555-6048,83,True
OFF27659052,Office 147,Regional,409 Main St,Seattle,WA,75105,32.858407,-116.798835,CST,555-7559,150,True
OFF94628747,Office 148,Regional,170 Main St,San Jose,FL,76271,36.059265,-119.139211,EST,555-8458,97,True
OFF79186661,Office 149,Branch,804 Main St,Boston,IL,75577,40.967212,-72.037591,EST,555-4912,24,False
OFF49613313,Office 150,HQ,559 Main St,San Jose,MA,79916,34.567523,-114.42472,CST,555-3835,147,False
OFF02154363,Office 151,Branch,363 Main St,Miami,FL,76033,45.252225,-83.741811,EST,555-6787,53,True
OFF17114788,Office 152,HQ,714 Main St,Boston,CA,79894,37.322795,-72.30886,PST,555-7772,125,True
OFF14247286,Office 153,Branch,349 Main St,Miami,CA,77830,27.653245,-88.89671,EST,555-4404,123,False
OFF15176372,Office 154,Regional,199 Main St,Boston,WA,76593,32.182399,-91.104522,CST,555-6482,59,False
OFF62066068,Office 155,HQ,360 Main St,San Jose,MA,76058,40.899686,-103.241712,EST,555-7315,17,False
OFF01548150,Office 156,Branch,546 Main St,Dallas,WA,77974,38.971019,-108.347903,EST,555-3579,43,False
OFF98657801,Office 157,Branch,668 Main St,Seattle,CA,79621,37.772059,-83.737413,EST,555-6514,17,True
OFF09129735,Office 158,Regional,774 Main St,Seattle,WA,79040,27.587615,-93.835763,EST,555-5839,106,True
OFF51871075,Office 159,Regional,570 Main St,Miami,NY,77923,30.828784,-72.225175,PST,555-8372,50,False
OFF03807909,Office 160,HQ,442 Main St,Seattle,FL,75795,43.980959,-108.684517,PST,555-9460,30,True
OFF70782178,Office 161,HQ,178 Main St,Seattle,IL,78496,34.640302,-81.985736,PST,555-9838,105,True
OFF68080051,Office 162,Regional,153 Main St,Austin,NY,77689,32.384246,-103.591947,PST,555-2885,124,True
OFF71398477,Office 163,Branch,624 Main St,Seattle,IL,78973,34.748063,-120.705458,EST,555-1632,116,False
OFF50024488,Office 164,Regional,579 Main St,San Jose,IL,78636,33.248619,-69.689508,CST,555-7758,115,False
OFF48199827,Office 165,HQ,769 Main St,Miami,CA,79688,43.35648,-80.452406,EST,555-1487,63,True
OFF02404909,Office 166,Regional,753 Main St,Chicago,NY,79168,25.142,-77.502043,EST,555-4049,125,False
OFF03305184,Office 167,Branch,263 Main St,Boston,MA,79611,39.55909,-88.06628,EST,555-8764,107,False
OFF76611877,Office 168,Regional,906 Main St,Dallas,MA,79450,38.196679,-123.239276,CST,555-1558,22,False
OFF02511915,Office 169,Branch,410 Main St,Chicago,WA,79192,38.20536,-106.799191,EST,555-4779,149,True
OFF32681394,Office 170,Branch,755 Main St,Miami,TX,75059,35.718743,-79.032857,PST,555-6311,149,True
OFF69455331,Office 171,HQ,155 Main St,Seattle,FL,75502,26.402265,-113.792752,PST,555-4062,37,False
OFF31047752,Office 172,HQ,406 Main St,Chicago,TX,79047,37.410011,-94.82097,EST,555-4625,41,False
OFF69695386,Office 173,HQ,953 Main St,Dallas,NY,77860,26.578198,-99.601776,PST,555-3148,99,True
OFF53148423,Office 174,Regional,643 Main St,Boston,TX,76024,44.71696,-106.310057,PST,555-5131,110,False
OFF66606304,Office 175,HQ,528 Main St,San Jose,CA,78845,26.662658,-104.751706,CST,555-5596,117,False
OFF79231569,Office 176,Regional,762 Main St,Boston,TX,78672,34.053361,-104.246418,EST,555-3468,96,False
OFF50908498,Office 177,Branch,238 Main St,Dallas,IL,79723,26.310951,-123.153454,CST,555-9361,81,False
OFF27460152,Office 178,HQ,673 Main St,San Jose,IL,75129,43.512588,-71.509341,EST,555-2246,125,False
OFF18258436,Office 179,Regional,164 Main St,Dallas,NY,75667,28.463931,-86.447647,PST,555-9306,12,False
OFF22808546,Office 180,Regional,266 Main St,Miami,MA,77537,43.947188,-119.6852,PST,555-8781,67,True
OFF03744381,Office 181,HQ,258 Main St,Miami,CA,79023,44.505378,-99.747775,EST,555-3163,45,False
OFF78210887,Office 182,Branch,571 Main St,Boston,TX,77285,42.243671,-96.335054,PST,555-3932,95,True
OFF52312158,Office 183,HQ,164 Main St,Austin,TX,75386,36.699256,-80.690663,PST,555-6782,21,False
OFF40954028,Office 184,Regional,660 Main St,Miami,TX,76033,42.012724,-85.262793,PST,555-1593,43,False
OFF23665268,Office 185,Regional,499 Main St,Miami,IL,76171,30.429181,-80.606186,PST,555-1252,129,True
OFF58269318,Office 186,Regional,611 Main St,Boston,CA,77772,36.744711,-96.080067,PST,555-8849,18,False
OFF84876472,Office 187,Branch,445 Main St,Austin,WA,78095,26.477126,-71.640991,EST,555-4115,127,True
OFF59463533,Office 188,HQ,536 Main St,Dallas,TX,79856,39.37214,-76.279434,CST,555-9658,60,False
OFF05029600,Office 189,Regional,475 Main St,Austin,TX,79806,32.350151,-104.452213,EST,555-1991,35,False
OFF46873803,Office 190,HQ,272 Main St,Austin,IL,77238,27.92647,-76.409507,EST,555-3701,137,True
OFF54811657,Office 191,Branch,415 Main St,Boston,WA,76627,27.851918,-74.606303,EST,555-8525,115,True
OFF04856861,Office 192,Regional,766 Main St,Dallas,WA,79624,40.568209,-113.030196,EST,555-3294,30,True
OFF49541735,Office 193,Branch,149 Main St,Chicago,TX,75889,39.767077,-82.862147,EST,555-3815,127,True
OFF56251221,Office 194,Regional,506 Main St,Chicago,IL,76424,32.049536,-84.608155,EST,555-2618,57,True
OFF29588156,Office 195,Regional,143 Main St,Austin,CA,76353,26.829804,-79.407565,CST,555-3376,89,False
OFF87436344,Office 196,Regional,111 Main St,Boston,NY,78205,37.266277,-117.323174,PST,555-4922,126,True
OFF39136828,Office 197,Branch,805 Main St,San Jose,TX,77125,47.05947,-67.479125,PST,555-7647,48,False
OFF30658082,Office 198,HQ,219 Main St,Miami,CA,78268,40.631952,-102.812846,PST,555-1132,105,True
OFF97186888,Office 199,Branch,675 Main St,Seattle,MA,79428,30.739867,-118.109746,PST,555-6265,146,False
OFF82273370,Office 200,Regional,771 Main St,San Jose,FL,78406,44.93985,-109.505747,PST,555-8169,36,False
OFF25981488,Office 201,Regional,196 Main St,Dallas,NY,78489,46.318087,-104.745008,PST,555-7947,111,True
OFF47262638,Office 202,Branch,423 Main St,Miami,WA,77832,39.756849,-69.602545,PST,555-9327,129,True
OFF51348039,Office 203,Regional,374 Main St,Miami,MA,76021,33.812685,-122.349622,PST,555-6175,89,False
OFF71991525,Office 204,Branch,760 Main St,Dallas,IL,78768,37.434226,-79.58248,PST,555-8150,63,False
OFF94808415,Office 205,Branch,310 Main St,Chicago,IL,79235,40.72847,-83.294782,PST,555-2420,21,False
OFF96792247,Office 206,Regional,390 Main St,Chicago,WA,77260,42.086864,-104.912104,PST,555-5453,120,False
OFF22538546,Office 207,HQ,682 Main St,San Jose,TX,79455,47.081056,-79.978509,PST,555-1679,97,True
OFF01108989,Office 208,Branch,605 Main St,Boston,MA,79384,27.257555,-89.545471,EST,555-5148,66,True
OFF33346736,Office 209,Regional,701 Main St,Miami,NY,77796,27.01083,-79.784648,PST,555-2598,41,True
OFF98033547,Office 210,HQ,337 Main St,Seattle,WA,79164,41.141377,-82.575649,CST,555-5327,102,False
OFF39683659,Office 211,Branch,523 Main St,Miami,CA,75319,33.107472,-111.520241,PST,555-3983,87,False
OFF22075957,Office 212,Branch,638 Main St,Dallas,TX,77856,34.798559,-89.341859,CST,555-8791,57,True
OFF46774868,Office 213,HQ,311 Main St,Dallas,IL,78940,26.263288,-75.052042,CST,555-1182,115,False
OFF49809517,Office 214,HQ,505 Main St,Miami,TX,78585,38.139306,-111.801863,CST,555-7180,147,False
OFF02187912,Office 215,HQ,200 Main St,Chicago,IL,75494,40.643198,-78.700738,PST,555-1007,123,True
OFF82386916,Office 216,Branch,280 Main St,San Jose,WA,76989,35.3918,-89.782871,EST,555-9843,131,False
OFF24320387,Office 217,Branch,323 Main St,Seattle,IL,78374,47.013636,-111.857905,EST,555-5097,118,False
OFF57436548,Office 218,HQ,280 Main St,Dallas,WA,77532,45.943248,-70.898706,PST,555-7158,109,True
OFF60201058,Office 219,Branch,493 Main St,Dallas,TX,77890,46.820944,-110.363102,CST,555-2989,132,True
OFF44482860,Office 220,Regional,405 Main St,Chicago,MA,78605,32.588909,-115.396905,EST,555-9647,29,False
OFF55350269,Office 221,HQ,254 Main St,Boston,FL,77012,27.170844,-113.493247,EST,555-4627,119,True
OFF60532172,Office 222,HQ,157 Main St,San Jose,FL,79889,42.842413,-116.756394,CST,555-8048,134,True
OFF32110125,Office 223,Regional,801 Main St,Chicago,IL,76621,28.532244,-75.039386,CST,555-5012,102,True
OFF78401700,Office 224,HQ,679 Main St,Boston,NY,79253,26.501787,-119.414555,EST,555-6865,25,False
OFF47853642,Office 225,Branch,845 Main St,Chicago,TX,76815,26.342195,-118.618161,PST,555-1457,24,False
OFF17604708,Office 226,Branch,948 Main St,Austin,NY,78134,41.024419,-79.532376,CST,555-2867,148,True
OFF82862064,Office 227,Branch,951 Main St,Miami,CA,75723,39.155846,-123.996481,PST,555-5735,108,True
OFF44467816,Office 228,Regional,428 Main St,San Jose,FL,76066,31.166061,-116.344052,PST,555-8389,77,True
OFF14428752,Office 229,Regional,664 Main St,Chicago,MA,76602,30.150904,-101.351208,EST,555-9574,148,True
OFF74181244,Office 230,HQ,387 Main St,Austin,WA,79482,41.95397,-85.497921,CST,555-5979,80,True
OFF79432047,Office 231,Branch,314 Main St,San Jose,TX,76435,43.823894,-70.105253,PST,555-9105,114,False
OFF42403492,Office 232,HQ,387 Main St,Dallas,MA,79485,33.94636,-71.85822,EST,555-4433,82,True
OFF92329673,Office 233,Branch,346 Main St,San Jose,TX,77938,31.220631,-99.538835,EST,555-5250,120,True
OFF66827868,Office 234,Regional,580 Main St,Dallas,TX,76085,42.248261,-87.516877,CST,555-8557,57,True
OFF65894093,Office 235,Regional,928 Main St,Dallas,NY,77622,37.995212,-81.111616,EST,555-6260,73,False
OFF53703359,Office 236,Branch,549 Main St,Boston,MA,79307,35.523765,-89.208636,CST,555-5287,96,True
OFF64267612,Office 237,Regional,314 Main St,Dallas,IL,78256,42.75914,-104.140742,EST,555-8513,145,True
OFF48335634,Office 238,Regional,531 Main St,Dallas,IL,76094,25.419559,-93.883327,EST,555-2697,12,False
OFF35339698,Office 239,Branch,316 Main St,Dallas,FL,75960,28.58171,-92.768186,PST,555-8755,41,False
OFF13270741,Office 240,Branch,206 Main St,Miami,IL,79661,42.111634,-77.967327,CST,555-3998,68,False
OFF65908710,Office 241,HQ,512 Main St,Dallas,TX,79720,38.038137,-117.260592,EST,555-6348,41,False
OFF15823049,Office 242,HQ,950 Main St,San Jose,MA,77266,26.555445,-104.621019,EST,555-4897,27,True
OFF18902719,Office 243,HQ,792 Main St,Austin,MA,79663,39.406833,-100.740486,PST,555-4762,24,True
OFF23187146,Office 244,HQ,912 Main St,Boston,NY,79144,27.361275,-88.929197,EST,555-9903,10,True
OFF46575053,Office 245,Branch,140 Main St,Miami,NY,76167,36.429099,-87.205223,EST,555-1753,121,True
OFF11733474,Office 246,Branch,750 Main St,Austin,TX,78146,34.061667,-99.925937,EST,555-8037,57,True
OFF57674487,Office 247,HQ,455 Main St,Chicago,NY,78624,30.703476,-106.92028,PST,555-2593,18,True
OFF66665552,Office 248,Regional,952 Main St,Seattle,FL,76517,38.832823,-74.138889,PST,555-1252,104,True
