inspection_id,asset_id,office_id,inspection_type,status,scheduled_date,completed_date,appraised_value,inspector_notes,condition_rating
INSP39951987,AST91462552,OFF75797389,Initial,Pending,2021-04-01,2020-03-16,100019.08,OK,Fair
INSP20022966,AST66958885,OFF47772473,Initial,Cancelled,2022-11-23,2019-03-28,16620.8,OK,Excellent
INSP10099977,AST31991079,OFF68015723,Annual,Active,2020-10-09,2023-11-21,189434.94,OK,Poor
INSP53752408,AST87682013,OFF63005189,Annual,Pending,2025-05-08,2024-09-27,179096.08,OK,Excellent
INSP98254251,AST17816642,OFF50300926,Annual,Active,2020-08-26,2025-12-01,121849.15,OK,Good
INSP68307241,AST82653269,OFF53315262,Initial,Cancelled,2021-03-25,2019-06-19,241931.39,OK,Poor
INSP83315988,AST25306270,OFF89802310,Follow-up,Cancelled,2022-03-17,2022-02-03,110127.09,OK,Poor
INSP91050470,AST57165106,OFF04520447,Initial,Cancelled,2023-11-14,2022-05-05,115165.46,OK,Excellent
INSP46634629,AST46062618,OFF13307844,Initial,Pending,2020-05-18,2021-06-27,20684.46,OK,Fair
INSP30735113,AST52132698,OFF18895896,Initial,Pending,2019-12-10,2025-06-23,197880.82,OK,Fair
INSP66245442,AST86413295,OFF83729910,Follow-up,Active,2023-10-29,2019-05-29,241277.19,OK,Good
INSP57061686,AST03753323,OFF69413986,Follow-up,Cancelled,2019-11-24,2023-03-15,185298.23,OK,Poor
INSP82044811,AST54509218,OFF48703232,Annual,Active,2018-04-05,2021-02-11,32936.68,OK,Good
INSP74187462,AST00512961,OFF53285425,Follow-up,Cancelled,2024-04-04,2025-02-22,136328.84,OK,Good
INSP75723911,AST23465880,OFF30458064,Annual,Cancelled,2023-06-28,2024-07-04,9087.32,OK,Good
INSP54918064,AST83757805,OFF57199408,Initial,Cancelled,2019-11-15,2022-12-13,66133.28,OK,Good
INSP07841228,AST58052371,OFF18785213,Initial,Pending,2020-08-01,2024-09-17,107285.42,OK,Excellent
INSP73744827,AST88454735,OFF65459359,Initial,Cancelled,2019-08-07,2025-07-25,215476.76,OK,Excellent
INSP52306711,AST00499805,OFF35754130,Follow-up,Cancelled,2018-05-13,2024-03-02,14251.62,OK,Poor
INSP61893899,AST33451932,OFF61216109,Annual,Closed,2021-03-08,2020-01-09,97345.54,OK,Poor
INSP77155008,AST11943576,OFF63999804,Initial,Active,2020-12-30,2025-06-07,179262.39,OK,Excellent
INSP57362719,AST33507147,OFF63138185,Follow-up,Closed,2022-07-31,2020-06-06,131073.02,OK,Poor
INSP44299689,AST08754792,OFF18485061,Initial,Cancelled,2018-01-26,2020-08-13,138310.65,OK,Poor
INSP06991514,AST53247133,OFF80869050,Initial,Pending,2022-11-28,2022-02-22,51107.2,OK,Fair
INSP54173980,AST34617440,OFF45539274,Follow-up,Cancelled,2022-10-17,2022-06-28,196064.34,OK,Excellent
INSP54874332,AST03329290,OFF07787674,Annual,Active,2018-02-15,2022-05-01,94538.72,OK,Excellent
INSP45218006,AST21387983,OFF20445499,Annual,Cancelled,2024-04-30,2025-03-21,168886.74,OK,Good
INSP28060592,AST98983370,OFF52553804,Annual,Cancelled,2020-07-14,2024-10-20,11810.91,OK,Fair
INSP39247556,AST70529710,OFF80909950,Follow-up,Pending,2019-10-30,2025-07-01,173010.45,OK,Excellent
INSP43888156,AST67544076,OFF35706612,Annual,Pending,2019-01-07,2021-05-23,157372.14,OK,Good
INSP61972521,AST91720986,OFF08974334,Follow-up,Cancelled,2024-05-17,2019-01-10,217801.07,OK,Good
INSP67744594,AST97510486,OFF58798957,Follow-up,Cancelled,2018-03-17,2023-04-18,51130.15,OK,Good
INSP18029462,AST00143066,OFF38028096,Annual,Active,2019-09-26,2020-05-26,34747.58,OK,Good
INSP48672169,AST71759327,OFF35751952,Initial,Pending,2023-05-20,2024-01-13,30289.6,OK,Excellent
INSP29619649,AST95452643,OFF54650280,Annual,Pending,2021-06-08,2018-10-26,209517.84,OK,Poor
INSP47828583,AST34545271,OFF26281256,Initial,Pending,2019-02-15,2022-03-04,211920.57,OK,Fair
INSP45799712,AST20997284,OFF54928318,Initial,Active,2024-06-18,2023-04-22,178250.77,OK,Poor
INSP72243013,AST47568601,OFF54984837,Follow-up,Closed,2018-10-29,2025-04-22,5794.04,OK,Excellent
INSP03624082,AST91662153,OFF03807909,Initial,Pending,2021-04-21,2023-05-19,27069.58,OK,Excellent
INSP46080397,AST09024240,OFF91361860,Follow-up,Active,2022-11-12,2024-12-24,99042.39,OK,Excellent
INSP84554622,AST08575895,OFF82442930,Initial,Closed,2023-01-05,2020-03-05,20208.67,OK,Fair
INSP77805679,AST66641717,OFF57208609,Follow-up,Pending,2020-05-01,2019-08-18,11871.3,OK,Good
INSP03219295,AST68668529,OFF66741312,Follow-up,Cancelled,2025-02-22,2019-05-16,108332.93,OK,Good
INSP38364963,AST40763121,OFF40746339,Annual,Active,2022-12-05,2021-06-16,201841.81,OK,Poor
INSP56438679,AST37817732,OFF56295787,Annual,Active,2018-02-14,2025-11-04,45407.39,OK,Poor
INSP25817864,AST52644211,OFF62288658,Initial,Active,2023-04-11,2018-06-07,42694.68,OK,Good
INSP39641219,AST91027858,OFF82373845,Annual,Cancelled,2021-08-21,2024-12-27,226052.6,OK,Fair
INSP77167164,AST98691847,OFF96237470,Initial,Closed,2018-10-04,2019-01-17,220750.43,OK,Good
INSP56514516,AST28361696,OFF49495358,Follow-up,Active,2018-05-31,2023-08-22,46332.58,OK,Poor
INSP32019010,AST49668106,OFF10342125,Annual,Cancelled,2021-01-31,2018-03-27,31598.92,OK,Poor
INSP46794547,AST81405450,OFF39426459,Follow-up,Active,2019-04-23,2024-07-11,49414.22,OK,Fair
INSP65086690,AST19543259,OFF92775466,Initial,Cancelled,2025-04-22,2024-07-01,143352.53,OK,Good
INSP68711900,AST24070920,OFF26008876,Follow-up,Cancelled,2024-03-26,2022-08-28,157967.54,OK,Good
INSP83170646,AST21165658,OFF83432217,Initial,Pending,2024-05-27,2018-04-22,216753.45,OK,Poor
INSP76180945,AST47261440,OFF55638109,Initial,Active,2019-06-07,2025-04-01,9410.45,OK,Poor
INSP34081513,AST99961062,OFF62159766,Annual,Active,2025-05-08,2024-11-30,110222.28,OK,Poor
INSP12774368,AST95452643,OFF65279475,Follow-up,Pending,2023-12-18,2019-03-25,244265.32,OK,Poor
INSP35296361,AST71234827,OFF18310921,Initial,Pending,2022-12-23,2024-06-30,55261.93,OK,Excellent
INSP38362252,AST66765196,OFF29455863,Follow-up,Active,2018-03-23,2019-06-19,71337.59,OK,Fair
INSP87599146,AST78886884,OFF48979057,Annual,Pending,2023-08-11,2021-09-14,243922.77,OK,Fair
INSP75424135,AST41056589,OFF25798155,Annual,Active,2024-09-23,2020-04-05,186088.83,OK,Fair
INSP76046496,AST06993250,OFF95610699,Initial,Cancelled,2021-01-25,2020-03-07,153235.34,OK,Excellent
INSP76360608,AST83515737,OFF78610649,Annual,Cancelled,2018-07-22,2022-12-16,111294.96,OK,Poor
INSP51869424,AST77572312,OFF45486976,Follow-up,Cancelled,2020-08-06,2025-11-18,85092.71,OK,Excellent
INSP75043530,AST09511330,OFF60392615,Initial,Cancelled,2021-10-17,2024-03-24,166218.66,OK,Excellent
INSP32172734,AST42127043,OFF86482622,Follow-up,Active,2025-07-18,2024-11-11,212779.82,OK,Poor
INSP06425648,AST49549647,OFF53203342,Annual,Active,2019-12-10,2018-08-09,23786.84,OK,Poor
INSP41712226,AST97872088,OFF56211227,Annual,Closed,2023-12-03,2024-11-17,59439.55,OK,Poor
INSP16293207,AST23963490,OFF05929060,Follow-up,Active,2019-02-05,2020-12-28,136142.55,OK,Excellent
INSP89873856,AST61909637,OFF80598082,Follow-up,Pending,2025-11-07,2023-09-30,21005.95,OK,Poor
INSP98365512,AST52058087,OFF58903629,Annual,Active,2019-04-19,2025-07-20,220162.5,OK,Excellent
INSP07279251,AST96480311,OFF31043087,Annual,Closed,2023-07-26,2021-09-15,21870.45,OK,Poor
INSP94151217,AST55405673,OFF35958397,Follow-up,Cancelled,2019-05-17,2024-01-27,192772.9,OK,Excellent
INSP01562286,AST70151256,OFF36912919,Annual,Cancelled,2024-10-24,2021-10-04,152043.96,OK,Good
INSP82186503,AST67962887,OFF58313870,Initial,Active,2019-11-20,2024-02-27,58130.68,OK,Excellent
INSP05434168,AST44613369,OFF58198916,Initial,Cancelled,2025-03-30,2022-09-18,156720.0,OK,Good
INSP00672125,AST12776220,OFF74811719,Annual,Closed,2019-01-06,2018-11-05,106764.47,OK,Poor
INSP96164825,AST86279153,OFF65212458,Annual,Active,2023-03-19,2025-04-11,201370.7,OK,Excellent
INSP22621606,AST59863703,OFF22473505,Follow-up,Closed,2024-09-27,2024-09-24,105726.07,OK,Poor
INSP83352731,AST27934734,OFF64469203,Initial,Closed,2020-08-20,2025-03-30,169908.99,OK,Fair
INSP55543923,AST80007455,OFF71202547,Initial,Closed,2025-09-23,2018-05-06,145064.2,OK,Poor
INSP79334102,AST05523151,OFF63343209,Annual,Active,2024-06-15,2021-05-23,123032.74,OK,Excellent
INSP42837151,AST85487100,OFF33096046,Follow-up,Cancelled,2024-12-08,2020-01-03,34767.53,OK,Good
INSP57983128,AST61147315,OFF00808783,Follow-up,Cancelled,2025-05-18,2019-05-18,168632.29,OK,Poor
INSP95863784,AST82553745,OFF63114377,Annual,Cancelled,2021-06-29,2020-03-24,133858.72,OK,Poor
INSP96214795,AST78618641,OFF88326808,Follow-up,Closed,2019-12-21,2024-12-09,154607.21,OK,Fair
INSP31745057,AST67386969,OFF92968812,Annual,Active,2018-10-07,2021-07-08,84305.99,OK,Poor
INSP00757505,AST49700647,OFF10115279,Initial,Cancelled,2025-04-20,2025-02-23,83793.31,OK,Poor
INSP68973896,AST08987646,OFF18443584,Initial,Closed,2023-01-19,2019-03-21,243885.24,OK,Poor
INSP25235370,AST49541646,OFF75788517,Annual,Closed,2023-07-17,2024-10-10,129971.9,OK,Fair
INSP97668443,AST84902828,OFF98440827,Initial,Pending,2025-10-18,2023-04-16,247886.74,OK,Fair
INSP09174812,AST99032805,OFF09318018,Initial,Cancelled,2025-11-22,2018-03-17,222874.56,OK,Excellent
INSP65418365,AST46684323,OFF63005189,Initial,Cancelled,2018-12-11,2019-02-06,132330.92,OK,Fair
INSP95699782,AST17291509,OFF56296123,Follow-up,Pending,2021-01-01,2025-05-27,77881.46,OK,Fair
INSP15156435,AST42397754,OFF39990184,Follow-up,Pending,2021-12-20,2022-10-07,211942.91,OK,Excellent
INSP64160363,AST12499010,OFF55335606,Annual,Pending,2018-07-23,2020-10-03,83213.52,OK,Poor
INSP63444754,AST75876560,OFF00454368,Annual,Closed,2024-08-03,2024-01-18,16279.46,OK,Poor
INSP72415232,AST66640119,OFF17935115,Initial,Closed,2024-10-31,2019-08-17,70866.56,OK,Fair
INSP81632621,AST83879449,OFF87044020,Annual,Active,2022-09-25,2018-05-06,197275.75,OK,Fair
INSP83349563,AST92953562,OFF28903216,Annual,Cancelled,2023-08-10,2018-10-19,141912.1,OK,Good
INSP02989479,AST05096889,OFF11363553,Follow-up,Cancelled,2022-04-16,2019-02-04,208452.61,OK,Fair
INSP69277669,AST54610774,OFF86531018,Follow-up,Active,2021-04-24,2025-09-12,219106.07,OK,Good
INSP70117069,AST55597412,OFF04944841,Initial,Closed,2019-06-06,2022-08-17,226564.47,OK,Poor
INSP47145317,AST66542948,OFF36236580,Annual,Pending,2022-11-12,2018-03-27,133671.58,OK,Poor
INSP34055994,AST31861698,OFF59512552,Follow-up,Cancelled,2024-09-21,2019-12-10,135658.34,OK,Good
INSP39597766,AST92457949,OFF17706323,Initial,Pending,2020-11-04,2025-01-11,152172.32,OK,Fair
INSP65079703,AST96288894,OFF44529700,Follow-up,Pending,2025-02-24,2020-07-05,68614.17,OK,Fair
INSP90839287,AST24288177,OFF12580298,Annual,Closed,2021-08-22,2021-05-24,216589.12,OK,Excellent
INSP48806137,AST74055548,OFF89113865,Annual,Active,2018-11-24,2018-04-09,143573.08,OK,Good
INSP86742127,AST10915708,OFF05111866,Initial,Active,2025-03-12,2021-01-03,64319.97,OK,Poor
INSP44529140,AST99769175,OFF27622647,Annual,Pending,2024-11-18,2024-05-10,171696.72,OK,Fair
INSP32422161,AST32174112,OFF30752333,Initial,Closed,2025-11-17,2018-12-24,30652.25,OK,Good
INSP45531955,AST07486595,OFF22919084,Initial,Active,2023-01-20,2020-09-05,136652.93,OK,Poor
INSP32171376,AST99637739,OFF53383294,Initial,Closed,2020-05-13,2024-05-09,73779.27,OK,Excellent
INSP19108379,AST85123295,OFF57763376,Initial,Cancelled,2023-06-11,2023-08-29,240447.28,OK,Fair
INSP42448646,AST60919000,OFF51036990,Follow-up,Closed,2019-03-27,2024-01-23,194046.0,OK,Excellent
INSP05093851,AST23556637,OFF84166725,Annual,Pending,2024-06-16,2023-01-03,82291.61,OK,Fair
INSP28041988,AST83572835,OFF46671049,Initial,Cancelled,2024-02-12,2024-09-30,44172.55,OK,Excellent
INSP99195925,AST63263585,OFF11937258,Annual,Closed,2020-07-09,2023-02-05,247631.62,OK,Fair
INSP36942333,AST23578934,OFF74659345,Follow-up,Cancelled,2019-10-13,2024-09-25,134502.85,OK,Good
INSP35582356,AST29109631,OFF55685946,Initial,Closed,2025-11-25,2021-08-02,36316.75,OK,Excellent
INSP76195699,AST58575045,OFF47901241,Follow-up,Active,2024-01-09,2025-12-21,198050.85,OK,Fair
INSP91694255,AST94971345,OFF01242863,Annual,Pending,2024-11-15,2022-05-12,222438.62,OK,Fair
INSP30450022,AST19068203,OFF74561982,Initial,Pending,2023-05-20,2025-01-09,75366.58,OK,Poor
INSP69596270,AST06988690,OFF43378420,Annual,Active,2020-11-04,2018-04-15,226728.35,OK,Excellent
INSP28581424,AST10144347,OFF99418169,Follow-up,Active,2018-09-06,2025-03-08,235557.02,OK,Fair
INSP29901680,AST59278642,OFF68552118,Initial,Cancelled,2020-01-24,2020-12-03,109998.84,OK,Excellent
INSP47351471,AST48601095,OFF28956898,Follow-up,Pending,2021-02-10,2018-07-04,214183.12,OK,Poor
INSP58447346,AST65441309,OFF48659903,Annual,Active,2024-11-24,2020-01-11,186646.92,OK,Poor
INSP13159226,AST93717770,OFF88047301,Follow-up,Closed,2020-10-22,2025-06-26,142035.49,OK,Fair
INSP05311702,AST11867358,OFF97134696,Follow-up,Cancelled,2022-07-17,2018-08-27,54955.81,OK,Excellent
INSP66306469,AST68621152,OFF95206222,Follow-up,Active,2025-12-16,2025-07-24,117796.13,OK,Fair
INSP69752603,AST73154566,OFF26159032,Initial,Closed,2024-11-20,2022-12-31,152058.96,OK,Good
INSP34250115,AST93693115,OFF29026700,Annual,Cancelled,2020-08-13,2022-01-16,90352.11,OK,Good
INSP81359885,AST05450219,OFF91542344,Follow-up,Cancelled,2025-12-08,2021-01-31,158610.07,OK,Good
INSP22907910,AST46062618,OFF14332066,Follow-up,Active,2020-09-27,2021-03-27,120221.12,OK,Poor
INSP14905977,AST58915350,OFF74012973,Annual,Pending,2018-03-14,2020-05-05,164583.81,OK,Excellent
INSP34038314,AST53144412,OFF52691036,Initial,Active,2021-10-03,2023-05-06,130445.01,OK,Poor
INSP97169406,AST59740347,OFF73657889,Initial,Closed,2024-02-05,2025-03-26,38265.57,OK,Good
INSP29998822,AST53110041,OFF86872786,Follow-up,Active,2021-07-20,2019-09-10,90901.06,OK,Excellent
INSP74733697,AST93367447,OFF05491560,Follow-up,Pending,2020-12-31,2021-02-20,125029.01,OK,Fair
INSP60784887,AST72232004,OFF30004655,Initial,Pending,2025-03-24,2018-05-05,26621.79,OK,Poor
INSP69061028,AST74303848,OFF41932584,Initial,Cancelled,2024-02-08,2025-04-17,103431.95,OK,Fair
INSP46051442,AST69211493,OFF24439129,Annual,Cancelled,2018-10-22,2020-11-15,152634.77,OK,Fair
INSP21096063,AST50192126,OFF00128136,Annual,Cancelled,2022-08-13,2023-03-30,145674.26,OK,Excellent
INSP05934235,AST43704615,OFF03844518,Initial,Closed,2023-06-28,2021-11-04,207577.16,OK,Fair
INSP05468462,AST35732190,OFF40223146,Follow-up,Active,2023-11-21,2022-07-29,156511.66,OK,Excellent
INSP52778254,AST35845090,OFF31723906,Annual,Pending,2025-06-17,2022-04-06,24068.97,OK,Excellent
INSP41592774,AST97692815,OFF37278749,Initial,Closed,2022-11-24,2022-05-27,181399.61,OK,Good
INSP76924938,AST40511716,OFF60292563,Initial,Pending,2023-11-30,2020-03-14,85937.93,OK,Fair
INSP58571623,AST90510775,OFF76903820,Initial,Active,2022-05-14,2023-07-30,164087.13,OK,Fair
INSP03805509,AST63667723,OFF01482189,Follow-up,Closed,2021-06-02,2023-03-28,103348.24,OK,Poor
INSP80362828,AST72061160,OFF58454180,Annual,Cancelled,2021-10-06,2022-10-07,231681.88,OK,Poor
INSP73453702,AST53349901,OFF55304560,Annual,Closed,2024-08-28,2022-12-25,12510.53,OK,Excellent
INSP00437451,AST59927391,OFF69208495,Follow-up,Active,2020-04-30,2025-08-10,19150.83,OK,Excellent
INSP59352887,AST05008527,OFF13239386,Follow-up,Closed,2019-12-29,2021-07-23,99519.87,OK,Poor
INSP81681409,AST32253949,OFF56533858,Annual,Cancelled,2019-02-16,2018-03-04,140889.79,OK,Poor
INSP76129985,AST84341809,OFF90461062,Follow-up,Pending,2024-01-12,2022-12-01,126709.44,OK,Fair
INSP45817635,AST90647085,OFF30929512,Follow-up,Closed,2024-07-31,2025-11-11,241956.64,OK,Poor
INSP80029291,AST08999932,OFF20845730,Follow-up,Cancelled,2022-07-22,2020-09-20,176495.22,OK,Poor
INSP88624177,AST57118237,OFF46778957,Annual,Active,2019-05-11,2023-11-16,163369.31,OK,Poor
INSP15786190,AST85105636,OFF74107381,Initial,Active,2022-08-16,2025-01-13,164192.35,OK,Excellent
INSP39415739,AST15279789,OFF65689314,Initial,Active,2020-12-14,2022-07-29,64940.5,OK,Excellent
INSP33527902,AST70507806,OFF20035151,Follow-up,Pending,2018-07-06,2019-02-19,106584.12,OK,Good
INSP69192592,AST88658944,OFF13015289,Initial,Active,2024-07-27,2019-02-21,195868.52,OK,Poor
INSP23167520,AST65969018,OFF82928868,Initial,Cancelled,2021-03-12,2022-12-16,149766.03,OK,Fair
INSP40261839,AST50943978,OFF22187824,Annual,Cancelled,2025-02-07,2018-02-17,240797.49,OK,Excellent
INSP06746229,AST36488506,OFF46850845,Follow-up,Cancelled,2018-02-15,2024-06-09,166110.39,OK,Good
INSP00569335,AST73749620,OFF40486505,Initial,Active,2023-03-04,2022-12-16,102361.09,OK,Fair
INSP59999387,AST06091851,OFF10042399,Initial,Active,2024-05-21,2023-04-14,122037.33,OK,Good
INSP83816234,AST83879482,OFF33656803,Follow-up,Pending,2018-03-18,2023-04-14,10800.09,OK,Poor
INSP92851883,AST89291582,OFF58752601,Follow-up,Closed,2021-08-30,2023-03-21,54066.77,OK,Poor
INSP46987267,AST83494877,OFF86196260,Follow-up,Closed,2021-05-05,2020-10-17,80920.24,OK,Good
INSP75429353,AST75773833,OFF14831877,Initial,Pending,2022-03-15,2024-08-26,88641.5,OK,Excellent
INSP36199802,AST53764064,OFF01343051,Initial,Pending,2019-04-19,2018-11-22,232513.29,OK,Fair
INSP28561352,AST40888139,OFF78395988,Follow-up,Pending,2019-07-11,2025-10-29,36247.17,OK,Excellent
INSP18459878,AST66588559,OFF57849556,Initial,Active,2022-04-17,2018-11-29,186078.45,OK,Good
INSP18566468,AST30455680,OFF14009945,Follow-up,Closed,2023-01-01,2024-04-05,149278.31,OK,Fair
INSP78969929,AST85618568,OFF66726378,Initial,Closed,2022-12-14,2025-06-02,166278.11,OK,Excellent
INSP69220146,AST19983208,OFF20684600,Follow-up,Cancelled,2022-04-21,2024-07-16,109327.28,OK,Fair
INSP12324197,AST15499869,OFF96287643,Annual,Cancelled,2018-11-25,2018-02-20,197326.14,OK,Fair
INSP71528904,AST71626963,OFF92088626,Follow-up,Active,2021-03-18,2021-08-30,138259.93,OK,Excellent
INSP99719756,AST93620498,OFF27629823,Follow-up,Closed,2025-10-16,2018-11-13,97084.15,OK,Good
INSP81008700,AST48996596,OFF89863312,Annual,Cancelled,2025-02-13,2024-12-20,196910.48,OK,Poor
INSP26236523,AST05310856,OFF16170578,Initial,Pending,2023-08-05,2023-07-26,231026.66,OK,Fair
INSP89832955,AST50213771,OFF97551030,Annual,Cancelled,2019-07-31,2023-09-28,192541.67,OK,Fair
INSP62299576,AST61094111,OFF67820209,Annual,Cancelled,2023-12-08,2020-12-28,106555.02,OK,Good
INSP98845496,AST56161834,OFF78938119,Initial,Pending,2019-12-14,2024-04-14,191648.56,OK,Excellent
INSP38385594,AST07399366,OFF57743748,Annual,Pending,2021-12-20,2020-04-25,131020.78,OK,Fair
INSP97845715,AST14728965,OFF07734120,Initial,Pending,2021-05-30,2025-06-21,98969.62,OK,Fair
INSP19692435,AST66627407,OFF09783406,Follow-up,Active,2023-05-25,2018-04-13,94865.92,OK,Excellent
INSP98871394,AST83593163,OFF27388410,Follow-up,Active,2021-04-08,2023-10-22,245210.63,OK,Good
INSP92079329,AST30050687,OFF63726892,Annual,Pending,2024-03-30,2022-11-21,48197.37,OK,Excellent
INSP77220871,AST60595295,OFF83567979,Follow-up,Pending,2024-07-09,2018-12-28,212875.16,OK,Poor
INSP80212416,AST28989877,OFF07114081,Initial,Pending,2018-08-08,2019-04-04,194028.01,OK,Fair
INSP62395458,AST62372012,OFF36956047,Follow-up,Active,2018-02-11,2023-02-13,226245.11,OK,Good
INSP98795657,AST15839971,OFF09892832,Initial,Active,2024-06-25,2023-10-15,236657.9,OK,Good
INSP56901086,AST49974982,OFF98629318,Initial,Active,2018-03-13,2025-04-02,121717.06,OK,Poor
INSP99590800,AST86060434,OFF25309811,Initial,Pending,2021-06-03,2024-06-05,69284.14,OK,Poor
INSP61309267,AST37692281,OFF18111717,Follow-up,Pending,2023-05-16,2022-01-19,97348.17,OK,Good
INSP34931505,AST40266426,OFF23203014,Annual,Closed,2020-04-10,2018-10-02,195815.5,OK,Good
INSP82694904,AST86454060,OFF13043330,Follow-up,Pending,2021-06-06,2018-10-01,117067.39,OK,Good
INSP00449550,AST21534912,OFF04226705,Follow-up,Cancelled,2021-12-30,2023-07-10,125729.9,OK,Good
INSP95650852,AST34155625,OFF59514175,Follow-up,Pending,2022-11-19,2025-11-05,25253.94,OK,Poor
INSP36110904,AST72591556,OFF01499559,Annual,Cancelled,2018-08-29,2020-09-24,160280.27,OK,Good
INSP16460406,AST55630145,OFF22136737,Initial,Cancelled,2025-08-13,2024-07-05,153227.05,OK,Excellent
INSP36631532,AST15934415,OFF24291748,Annual,Pending,2019-09-08,2025-09-04,37172.23,OK,Fair
INSP93796177,AST40455474,OFF16707316,Follow-up,Pending,2022-09-21,2018-05-07,180407.65,OK,Excellent
